client_id,program,improvement_score,completed
A-0001,Program A,26.6,1
A-0002,Program A,26.3,1
A-0003,Program A,26.7,0
A-0004,Program A,13.0,1
A-0005,Program A,25.8,1
A-0006,Program A,29.2,1
A-0007,Program A,34.6,1
A-0008,Program A,29.1,1
A-0009,Program A,30.5,0
A-0010,Program A,41.1,1
A-0011,Program A,33.3,1
A-0012,Program A,13.5,1
A-0013,Program A,36.7,1
A-0014,Program A,25.6,1
A-0015,Program A,35.8,0
A-0016,Program A,16.9,1
A-0017,Program A,1.8,1
A-0018,Program A,21.9,1
A-0019,Program A,34.6,0
A-0020,Program A,15.8,1
A-0021,Program A,27.1,1
A-0022,Program A,25.1,1
A-0023,Program A,34.4,1
A-0024,Program A,31.5,1
A-0025,Program A,21.7,1
A-0026,Program A,20.8,1
A-0027,Program A,25.5,1
A-0028,Program A,50.0,1
A-0029,Program A,35.7,1
A-0030,Program A,42.2,1
A-0031,Program A,42.3,1
A-0032,Program A,27.1,1
A-0033,Program A,37.5,1
A-0034,Program A,13.6,1
A-0035,Program A,24.8,1
A-0036,Program A,35.2,0
A-0037,Program A,34.2,1
A-0038,Program A,21.9,1
A-0039,Program A,37.5,1
A-0040,Program A,22.3,1
A-0041,Program A,20.8,1
A-0042,Program A,25.1,0
A-0043,Program A,22.3,0
A-0044,Program A,32.2,1
A-0045,Program A,30.6,1
A-0046,Program A,29.7,1
A-0047,Program A,30.7,1
A-0048,Program A,17.9,1
A-0049,Program A,40.3,0
A-0050,Program A,27.7,0
A-0051,Program A,43.9,1
A-0052,Program A,29.2,1
A-0053,Program A,26.5,1
A-0054,Program A,42.2,1
A-0055,Program A,4.2,0
A-0056,Program A,35.1,1
A-0057,Program A,21.7,0
A-0058,Program A,28.0,0
A-0059,Program A,23.7,1
A-0060,Program A,41.6,1
A-0061,Program A,29.0,0
A-0062,Program A,15.6,1
A-0063,Program A,36.9,1
A-0064,Program A,28.0,0
A-0065,Program A,41.7,1
A-0066,Program A,15.0,1
A-0067,Program A,45.5,1
A-0068,Program A,11.2,1
A-0069,Program A,43.3,0
A-0070,Program A,35.1,1
A-0071,Program A,15.5,1
A-0072,Program A,30.0,0
A-0073,Program A,21.9,1
A-0074,Program A,31.2,1
A-0075,Program A,30.6,0
A-0076,Program A,36.2,1
A-0077,Program A,16.8,1
A-0078,Program A,32.6,1
A-0079,Program A,21.0,1
A-0080,Program A,39.3,1
A-0081,Program A,40.7,1
A-0082,Program A,34.1,0
A-0083,Program A,30.4,1
A-0084,Program A,25.0,1
A-0085,Program A,29.2,0
A-0086,Program A,33.2,1
A-0087,Program A,10.7,0
A-0088,Program A,31.0,1
A-0089,Program A,36.7,1
A-0090,Program A,34.1,1
A-0091,Program A,26.0,0
A-0092,Program A,13.2,1
A-0093,Program A,20.5,0
A-0094,Program A,33.2,1
A-0095,Program A,32.0,1
A-0096,Program A,38.2,1
A-0097,Program A,28.0,1
A-0098,Program A,50.0,0
A-0099,Program A,24.9,0
A-0100,Program A,27.0,0
A-0101,Program A,50.0,0
A-0102,Program A,23.6,1
A-0103,Program A,21.1,1
A-0104,Program A,28.6,1
A-0105,Program A,6.9,1
A-0106,Program A,48.0,0
A-0107,Program A,17.9,0
A-0108,Program A,30.9,0
A-0109,Program A,13.0,1
A-0110,Program A,22.5,1
A-0111,Program A,40.9,1
A-0112,Program A,25.4,1
A-0113,Program A,40.4,1
A-0114,Program A,32.7,0
A-0115,Program A,42.0,1
A-0116,Program A,49.3,1
A-0117,Program A,15.6,1
A-0118,Program A,19.6,1
A-0119,Program A,33.8,1
A-0120,Program A,23.2,1
B-0001,Program B,4.1,1
B-0002,Program B,25.7,0
B-0003,Program B,23.4,1
B-0004,Program B,36.3,1
B-0005,Program B,13.2,1
B-0006,Program B,9.1,0
B-0007,Program B,29.9,0
B-0008,Program B,23.8,0
B-0009,Program B,25.4,1
B-0010,Program B,21.7,0
B-0011,Program B,36.1,1
B-0012,Program B,1.2,1
B-0013,Program B,27.4,1
B-0014,Program B,1.8,0
B-0015,Program B,17.1,0
B-0016,Program B,16.8,1
B-0017,Program B,3.3,1
B-0018,Program B,0.0,1
B-0019,Program B,29.9,1
B-0020,Program B,27.5,1
B-0021,Program B,16.4,1
B-0022,Program B,10.1,1
B-0023,Program B,0.0,0
B-0024,Program B,19.9,1
B-0025,Program B,9.4,1
B-0026,Program B,22.5,0
B-0027,Program B,11.9,0
B-0028,Program B,10.9,1
B-0029,Program B,16.5,1
B-0030,Program B,18.7,0
B-0031,Program B,30.4,0
B-0032,Program B,9.4,1
B-0033,Program B,21.7,1
B-0034,Program B,23.0,0
B-0035,Program B,24.8,0
B-0036,Program B,0.0,1
B-0037,Program B,18.0,0
B-0038,Program B,23.6,0
B-0039,Program B,4.1,1
B-0040,Program B,27.3,0
B-0041,Program B,39.6,0
B-0042,Program B,0.0,0
B-0043,Program B,37.4,1
B-0044,Program B,21.0,0
B-0045,Program B,25.7,0
B-0046,Program B,0.0,1
B-0047,Program B,19.3,0
B-0048,Program B,12.4,0
B-0049,Program B,21.8,1
B-0050,Program B,39.8,1
B-0051,Program B,20.4,1
B-0052,Program B,9.7,1
B-0053,Program B,6.7,0
B-0054,Program B,39.1,1
B-0055,Program B,10.4,0
B-0056,Program B,8.6,1
B-0057,Program B,23.5,0
B-0058,Program B,15.8,1
B-0059,Program B,27.2,1
B-0060,Program B,15.8,1
B-0061,Program B,16.6,1
B-0062,Program B,7.7,1
B-0063,Program B,6.2,1
B-0064,Program B,28.4,0
B-0065,Program B,45.4,1
B-0066,Program B,18.3,0
B-0067,Program B,17.1,1
B-0068,Program B,0.1,1
B-0069,Program B,12.5,1
B-0070,Program B,8.8,0
B-0071,Program B,16.1,1
B-0072,Program B,8.0,1
B-0073,Program B,9.8,1
B-0074,Program B,23.8,1
B-0075,Program B,34.8,0
B-0076,Program B,11.4,1
B-0077,Program B,13.2,1
B-0078,Program B,32.4,1
B-0079,Program B,3.7,0
B-0080,Program B,24.7,1
B-0081,Program B,10.2,1
B-0082,Program B,21.0,0
B-0083,Program B,20.1,1
B-0084,Program B,11.0,1
B-0085,Program B,10.7,0
B-0086,Program B,10.0,0
B-0087,Program B,14.0,1
B-0088,Program B,10.4,1
B-0089,Program B,18.4,0
B-0090,Program B,31.6,1
