case_id,prior_placements,parental_substance_use,poverty_index,child_age,service_hours,recurrence_risk
CW-1001,5,0,0.3,8,24.5,57.32
CW-1002,5,0,5.9,1,3.0,76.07
CW-1003,1,0,5.1,0,56.1,40.62
CW-1004,3,0,4.5,8,80.9,41.4
CW-1005,0,0,7.0,10,27.8,37.45
CW-1006,0,0,3.8,11,84.7,45.95
CW-1007,4,1,8.1,14,53.6,91.27
CW-1008,4,1,8.3,11,57.7,82.53
CW-1009,5,0,0.5,7,77.3,80.31
CW-1010,0,1,2.8,11,16.3,29.71
CW-1011,2,0,6.7,2,60.9,63.87
CW-1012,1,1,3.8,17,22.0,54.32
CW-1013,2,0,2.3,1,80.5,42.44
CW-1014,4,1,2.1,15,39.6,63.91
CW-1015,5,1,1.4,4,24.7,64.44
CW-1016,4,1,9.0,12,36.2,80.68
CW-1017,1,1,0.9,1,86.1,49.19
CW-1018,5,1,6.0,12,38.2,87.66
CW-1019,3,1,9.7,0,68.0,100
CW-1020,2,1,1.1,13,15.8,55.08
CW-1021,0,1,9.7,5,50.8,69.67
CW-1022,5,0,1.5,5,53.9,71.08
CW-1023,4,0,6.0,15,1.9,76.23
CW-1024,2,0,0.6,2,8.6,23.81
CW-1025,3,0,9.8,17,76.6,75.42
CW-1026,4,0,2.7,13,96.4,66.44
CW-1027,4,0,7.1,12,99.5,65.93
CW-1028,4,1,1.2,7,6.4,51.06
CW-1029,0,0,5.9,0,7.1,28.51
CW-1030,0,1,0.7,7,27.8,23.09
CW-1031,3,0,5.4,15,24.3,40.05
CW-1032,0,0,6.6,11,42.4,35.27
CW-1033,3,0,6.7,3,6.1,55.76
CW-1034,0,0,1.9,17,44.9,0
CW-1035,3,0,2.8,7,87.4,68.81
CW-1036,4,0,0.5,17,83.6,56.65
CW-1037,0,0,1.7,15,48.1,31.64
CW-1038,1,1,0.0,12,26.5,15.44
CW-1039,3,1,4.2,17,66.2,55.25
CW-1040,1,0,5.8,17,6.1,33.05
CW-1041,2,0,0.5,15,50.3,33.55
CW-1042,4,0,8.5,2,59.5,72.77
