case_id,child_race,child_age,referral_type,screened_in,investigated,substantiated,placement,county
CW-0446,Hispanic,7,Sexual Abuse,1,1,1,0,Franklin
CW-0151,White,14,Neglect,1,1,1,0,Franklin
CW-0013,White,5,Physical Abuse,1,1,0,0,Franklin
CW-0491,Asian,11,Neglect,1,1,0,0,Franklin
CW-0295,Black,1,Neglect,0,0,0,0,Franklin
CW-0181,White,5,Neglect,1,1,0,0,Franklin
CW-0274,Black,7,Substance Exposure,0,0,0,0,Franklin
CW-0192,White,7,Neglect,1,1,0,0,Franklin
CW-0485,Asian,3,Neglect,0,0,0,0,Franklin
CW-0186,White,5,Emotional Abuse,0,0,0,0,Franklin
CW-0440,Hispanic,15,Emotional Abuse,0,0,0,0,Franklin
CW-0022,White,6,Emotional Abuse,1,1,0,0,Franklin
CW-0239,Black,12,Physical Abuse,1,1,1,0,Franklin
CW-0359,Black,11,Neglect,1,1,0,0,Franklin
CW-0053,White,8,Physical Abuse,1,1,1,0,Franklin
CW-0438,Hispanic,1,Sexual Abuse,1,1,1,1,Franklin
CW-0385,Hispanic,3,Sexual Abuse,1,1,1,1,Franklin
CW-0244,Black,7,Neglect,0,0,0,0,Franklin
CW-0334,Black,4,Emotional Abuse,1,1,0,0,Franklin
CW-0492,Other,9,Physical Abuse,0,0,0,0,Franklin
CW-0291,Black,16,Neglect,1,1,1,0,Franklin
CW-0429,Hispanic,7,Neglect,0,0,0,0,Franklin
CW-0242,Black,5,Neglect,1,1,0,0,Franklin
CW-0482,Asian,13,Physical Abuse,1,0,0,0,Franklin
CW-0140,White,1,Neglect,1,1,0,0,Franklin
CW-0346,Black,17,Substance Exposure,1,1,0,0,Franklin
CW-0378,Black,6,Sexual Abuse,1,1,0,0,Franklin
CW-0005,White,11,Physical Abuse,1,1,1,0,Franklin
CW-0081,White,4,Neglect,1,1,0,0,Franklin
CW-0428,Hispanic,15,Neglect,0,0,0,0,Franklin
CW-0071,White,10,Physical Abuse,1,1,1,0,Franklin
CW-0007,White,11,Neglect,1,1,0,0,Franklin
CW-0256,Black,12,Neglect,0,0,0,0,Franklin
CW-0159,White,8,Neglect,1,1,0,0,Franklin
CW-0442,Hispanic,13,Neglect,0,0,0,0,Franklin
CW-0328,Black,4,Neglect,1,0,0,0,Franklin
CW-0057,White,1,Neglect,0,0,0,0,Franklin
CW-0257,Black,2,Physical Abuse,1,1,1,1,Franklin
CW-0434,Hispanic,7,Neglect,1,1,0,0,Franklin
CW-0078,White,0,Substance Exposure,0,0,0,0,Franklin
CW-0477,Asian,16,Neglect,0,0,0,0,Franklin
CW-0415,Hispanic,6,Sexual Abuse,1,1,0,0,Franklin
CW-0361,Black,13,Neglect,0,0,0,0,Franklin
CW-0474,Hispanic,9,Neglect,1,1,0,0,Franklin
CW-0119,White,2,Substance Exposure,1,1,0,0,Franklin
CW-0455,Hispanic,1,Neglect,0,0,0,0,Franklin
CW-0341,Black,4,Emotional Abuse,0,0,0,0,Franklin
CW-0202,Black,2,Neglect,1,0,0,0,Franklin
CW-0118,White,17,Physical Abuse,1,1,0,0,Franklin
CW-0160,White,7,Neglect,1,1,0,0,Franklin
CW-0111,White,11,Neglect,1,0,0,0,Franklin
CW-0464,Hispanic,3,Neglect,0,0,0,0,Franklin
CW-0188,White,0,Physical Abuse,1,1,0,0,Franklin
CW-0080,White,4,Physical Abuse,1,1,1,0,Franklin
CW-0205,Black,6,Physical Abuse,1,1,0,0,Franklin
CW-0024,White,2,Neglect,1,1,0,0,Franklin
CW-0023,White,4,Sexual Abuse,0,0,0,0,Franklin
CW-0123,White,12,Substance Exposure,0,0,0,0,Franklin
CW-0031,White,0,Physical Abuse,1,0,0,0,Franklin
CW-0441,Hispanic,10,Physical Abuse,1,1,1,0,Franklin
CW-0253,Black,11,Neglect,0,0,0,0,Franklin
CW-0299,Black,11,Physical Abuse,0,0,0,0,Franklin
CW-0221,Black,15,Physical Abuse,1,1,0,0,Franklin
CW-0345,Black,17,Substance Exposure,1,0,0,0,Franklin
CW-0130,White,4,Substance Exposure,0,0,0,0,Franklin
CW-0317,Black,5,Neglect,1,1,1,0,Franklin
CW-0235,Black,3,Emotional Abuse,1,1,0,0,Franklin
CW-0354,Black,5,Neglect,0,0,0,0,Franklin
CW-0371,Black,1,Neglect,1,1,1,0,Franklin
CW-0096,White,4,Physical Abuse,0,0,0,0,Franklin
CW-0098,White,15,Neglect,1,1,1,0,Franklin
CW-0444,Hispanic,2,Sexual Abuse,1,0,0,0,Franklin
CW-0261,Black,4,Physical Abuse,1,0,0,0,Franklin
CW-0493,Other,0,Neglect,1,0,0,0,Franklin
