date,total_calls,answered_calls,abandoned_calls,avg_wait_seconds,avg_duration_minutes,crisis_calls,referrals_made,staff_on_duty
2024-01-01,82,67,15,29.7,9.7,16,24,10
2024-01-02,112,89,23,39.4,18.2,18,36,11
2024-01-03,126,107,19,44.2,22.8,26,26,9
2024-01-04,110,89,21,95.2,9.7,15,27,8
2024-01-05,128,100,28,63.2,10.1,28,22,8
2024-01-06,91,84,7,75.6,20.0,9,22,5
2024-01-07,53,49,4,54.9,15.7,13,12,5
2024-01-08,106,95,11,86.8,9.2,21,34,7
2024-01-09,100,82,18,112.2,19.7,11,24,12
2024-01-10,136,125,11,99.5,14.8,14,59,10
2024-01-11,157,128,29,67.4,23.0,29,31,7
2024-01-12,110,95,15,93.4,15.3,20,29,7
2024-01-13,80,72,8,105.4,10.6,9,29,7
2024-01-14,48,42,6,64.1,12.3,8,20,8
2024-01-15,90,81,9,95.7,13.8,12,20,6
2024-01-16,148,122,26,67.6,11.0,34,56,8
2024-01-17,152,134,18,31.0,21.0,27,58,10
2024-01-18,144,120,24,17.0,23.8,33,53,8
2024-01-19,100,92,8,114.4,9.5,18,20,12
2024-01-20,86,68,18,64.9,17.3,10,31,6
2024-01-21,63,57,6,87.4,20.1,10,22,5
2024-01-22,127,108,19,41.0,9.1,11,39,10
2024-01-23,98,88,10,21.2,9.1,9,26,10
2024-01-24,103,88,15,71.6,20.3,24,32,7
2024-01-25,145,123,22,24.9,19.2,21,39,12
2024-01-26,133,118,15,82.8,9.0,28,51,6
2024-01-27,59,51,8,29.7,11.1,9,23,3
2024-01-28,79,73,6,25.3,19.1,15,14,3
2024-01-29,161,132,29,57.7,16.2,36,62,7
2024-01-30,109,92,17,112.3,21.3,14,37,11
2024-01-31,147,132,15,31.3,13.0,38,49,10
2024-02-01,96,75,21,76.3,16.5,20,18,10
2024-02-02,100,79,21,22.1,22.7,14,38,10
2024-02-03,62,48,14,23.6,19.2,10,14,5
2024-02-04,60,50,10,42.9,10.2,11,16,3
2024-02-05,89,84,5,119.6,9.2,11,23,8
2024-02-06,144,118,26,44.9,15.4,24,34,12
2024-02-07,136,121,15,73.2,23.8,14,56,8
2024-02-08,102,92,10,31.3,12.8,13,27,11
2024-02-09,141,122,19,41.4,23.4,13,47,12
2024-02-10,60,50,10,28.7,24.7,6,16,8
2024-02-11,75,59,16,114.2,19.7,7,12,5
2024-02-12,132,112,20,19.4,14.2,32,55,6
2024-02-13,151,135,16,85.0,14.0,28,62,10
2024-02-14,136,127,9,105.8,24.6,33,58,6
2024-02-15,105,87,18,112.7,21.6,23,38,8
2024-02-16,105,83,22,106.6,22.6,11,36,9
2024-02-17,67,61,6,38.9,8.4,8,18,3
2024-02-18,97,86,11,57.0,24.7,17,41,3
2024-02-19,86,81,5,42.9,9.8,15,33,8
2024-02-20,122,105,17,55.4,17.8,15,43,6
2024-02-21,134,116,18,90.5,20.6,27,35,6
2024-02-22,160,133,27,48.0,22.4,32,38,8
2024-02-23,135,114,21,46.0,10.2,20,54,11
2024-02-24,103,91,12,46.6,17.3,9,26,6
2024-02-25,102,90,12,63.8,15.5,12,30,8
2024-02-26,103,85,18,84.7,18.5,10,41,7
2024-02-27,134,122,12,30.5,8.8,36,46,12
2024-02-28,93,86,7,75.4,20.2,15,27,7
2024-02-29,139,129,10,105.3,23.1,32,34,12
2024-03-01,124,107,17,20.3,12.2,28,36,12
2024-03-02,69,61,8,118.7,18.1,17,28,7
2024-03-03,86,80,6,59.8,23.4,15,19,6
2024-03-04,108,88,20,41.0,18.8,22,31,11
2024-03-05,95,78,17,23.1,12.9,12,23,10
2024-03-06,85,68,17,39.3,19.8,16,14,9
2024-03-07,101,88,13,58.7,11.5,16,41,10
2024-03-08,140,125,15,105.0,21.0,22,25,8
2024-03-09,59,53,6,104.6,24.2,9,22,7
2024-03-10,78,72,6,66.3,12.6,14,22,8
2024-03-11,123,112,11,91.0,22.3,31,55,10
2024-03-12,81,75,6,77.1,19.3,8,24,12
2024-03-13,109,88,21,42.3,13.6,16,26,9
2024-03-14,97,88,9,102.4,12.3,10,18,10
2024-03-15,83,78,5,51.7,19.1,19,30,12
2024-03-16,41,38,3,35.9,8.3,4,9,8
2024-03-17,47,41,6,37.9,19.9,10,10,7
2024-03-18,127,114,13,96.7,10.8,18,42,8
2024-03-19,116,103,13,115.6,14.7,25,22,11
2024-03-20,133,117,16,25.7,21.1,31,44,6
2024-03-21,130,123,7,97.2,13.9,22,38,10
2024-03-22,121,101,20,104.2,22.0,12,49,11
2024-03-23,69,62,7,60.7,20.5,18,17,7
2024-03-24,89,76,13,60.7,20.4,11,34,3
2024-03-25,97,90,7,40.6,15.9,19,28,6
2024-03-26,111,102,9,34.1,11.6,26,30,10
2024-03-27,124,115,9,73.4,16.8,15,31,9
2024-03-28,111,97,14,40.2,16.1,23,32,6
2024-03-29,85,70,15,57.5,12.1,16,21,10
2024-03-30,73,61,12,119.6,17.4,10,20,5
2024-03-31,56,45,11,90.7,13.4,11,21,8
2024-04-01,91,73,18,92.6,12.7,15,31,10
2024-04-02,98,92,6,102.4,13.0,15,26,11
2024-04-03,114,91,23,19.8,8.9,14,43,11
2024-04-04,135,122,13,25.8,8.2,19,41,8
2024-04-05,91,85,6,41.5,22.6,10,18,9
2024-04-06,44,38,6,87.1,10.6,9,18,3
2024-04-07,55,44,11,95.3,18.3,11,11,7
2024-04-08,104,89,15,61.5,22.6,26,25,10
2024-04-09,83,73,10,92.7,24.1,10,19,11
2024-04-10,85,68,17,33.3,9.3,6,22,10
2024-04-11,110,91,19,39.3,20.0,21,30,11
2024-04-12,94,88,6,97.7,18.6,20,42,9
2024-04-13,47,41,6,83.0,23.4,10,9,4
2024-04-14,90,74,16,93.6,17.7,11,17,8
2024-04-15,99,88,11,114.0,16.5,17,19,6
2024-04-16,136,116,20,48.8,12.3,13,56,12
2024-04-17,135,118,17,114.8,25.0,27,33,6
2024-04-18,128,116,12,64.4,19.1,32,29,10
2024-04-19,107,95,12,66.6,9.6,16,28,11
2024-04-20,46,42,4,49.6,19.8,6,20,7
2024-04-21,42,36,6,48.0,13.5,10,11,7
2024-04-22,132,125,7,84.1,17.2,22,32,8
2024-04-23,119,108,11,80.7,20.9,15,39,8
2024-04-24,108,100,8,65.9,8.5,22,43,11
2024-04-25,90,74,16,16.4,14.9,10,33,6
2024-04-26,109,102,7,83.0,10.6,29,29,11
2024-04-27,57,48,9,65.7,16.0,9,11,4
2024-04-28,78,67,11,107.3,22.7,10,29,6
2024-04-29,101,94,7,68.3,21.9,14,27,10
2024-04-30,117,111,6,66.4,10.5,23,33,10
2024-05-01,128,111,17,62.8,13.5,15,45,10
2024-05-02,104,85,19,96.4,8.7,21,34,12
2024-05-03,104,87,17,84.7,22.0,25,30,6
2024-05-04,48,41,7,77.0,22.8,11,13,7
2024-05-05,69,54,15,30.1,22.8,15,12,5
2024-05-06,101,89,12,56.7,9.4,14,35,10
2024-05-07,104,97,7,80.8,23.1,19,35,10
2024-05-08,84,68,16,86.9,12.9,9,15,6
2024-05-09,128,113,15,106.6,15.5,26,53,6
2024-05-10,100,91,9,45.8,14.4,11,32,10
2024-05-11,83,75,8,32.8,9.3,20,28,4
2024-05-12,71,66,5,30.0,15.8,9,18,3
2024-05-13,137,125,12,109.6,19.5,16,41,8
2024-05-14,117,97,20,116.0,19.7,18,28,9
2024-05-15,134,115,19,39.9,17.7,24,57,8
2024-05-16,81,76,5,84.1,12.7,16,30,11
2024-05-17,83,77,6,93.2,22.2,21,33,7
2024-05-18,78,71,7,38.0,11.2,10,30,8
2024-05-19,83,76,7,81.0,23.4,17,22,6
2024-05-20,82,72,10,91.9,9.5,11,30,7
2024-05-21,92,73,19,71.6,24.5,15,34,12
2024-05-22,90,74,16,101.6,16.2,19,31,8
2024-05-23,131,104,27,116.1,10.4,30,47,11
2024-05-24,123,116,7,116.6,21.7,20,50,6
2024-05-25,56,48,8,62.8,19.4,11,18,8
2024-05-26,63,50,13,39.6,8.4,13,18,7
2024-05-27,59,52,7,63.7,19.9,11,12,6
2024-05-28,140,110,30,119.6,10.0,16,39,9
2024-05-29,109,91,18,114.7,19.8,18,34,11
2024-05-30,89,82,7,83.8,22.2,18,39,8
2024-05-31,82,73,9,37.8,15.6,10,22,11
2024-06-01,58,54,4,52.7,14.8,7,12,6
2024-06-02,42,37,5,77.7,8.4,9,10,4
2024-06-03,120,94,26,95.3,11.5,13,43,8
2024-06-04,112,104,8,15.3,22.6,13,24,8
2024-06-05,114,101,13,17.7,8.3,26,27,8
2024-06-06,70,55,15,92.9,16.9,13,18,12
2024-06-07,94,75,19,67.9,24.1,8,32,12
2024-06-08,75,64,11,116.2,9.0,12,20,8
2024-06-09,42,39,3,22.7,9.4,8,8,5
2024-06-10,110,96,14,49.1,24.9,19,32,10
2024-06-11,92,82,10,104.5,19.1,20,34,7
2024-06-12,97,79,18,50.6,15.7,14,18,9
2024-06-13,93,78,15,31.0,23.7,8,35,6
2024-06-14,92,83,9,100.2,17.5,18,30,8
2024-06-15,71,59,12,84.9,20.8,16,24,5
2024-06-16,69,55,14,68.3,10.6,10,24,5
2024-06-17,123,98,25,44.2,11.8,18,36,12
2024-06-18,122,109,13,73.5,18.4,25,44,6
2024-06-19,80,72,8,111.8,14.0,9,17,11
2024-06-20,90,81,9,117.0,9.6,16,25,9
2024-06-21,87,72,15,49.1,24.0,15,33,7
2024-06-22,47,37,10,23.6,15.5,6,14,6
2024-06-23,50,43,7,51.2,9.9,10,16,7
2024-06-24,108,88,20,118.4,8.9,12,42,12
2024-06-25,83,68,15,27.6,16.5,12,16,10
2024-06-26,109,95,14,85.1,14.0,17,40,9
2024-06-27,73,57,16,47.9,15.3,10,22,8
2024-06-28,78,73,5,33.0,24.1,14,29,8
2024-06-29,40,31,9,60.7,14.8,3,14,8
2024-06-30,53,48,5,23.0,18.8,9,12,5
2024-07-01,96,88,8,100.6,12.0,11,22,10
2024-07-02,84,74,10,33.6,21.1,14,31,12
2024-07-03,106,99,7,74.3,18.8,22,45,11
2024-07-04,44,37,7,46.8,12.7,4,13,8
2024-07-05,99,78,21,102.3,9.3,21,35,10
2024-07-06,71,60,11,73.2,21.5,16,20,7
2024-07-07,70,61,9,67.6,24.3,11,27,5
2024-07-08,107,95,12,19.1,20.0,28,33,10
2024-07-09,80,74,6,55.7,21.2,17,15,11
2024-07-10,108,90,18,73.6,14.6,13,40,10
2024-07-11,117,92,25,84.7,23.6,14,36,11
2024-07-12,91,81,10,23.9,17.5,18,24,7
2024-07-13,77,72,5,119.7,23.5,8,28,7
2024-07-14,53,44,9,114.9,13.8,11,11,4
2024-07-15,76,70,6,25.6,21.1,18,32,6
2024-07-16,109,99,10,28.8,14.4,13,44,12
2024-07-17,113,91,22,61.0,15.0,21,24,9
2024-07-18,105,95,10,62.1,17.1,15,42,9
2024-07-19,131,110,21,114.4,24.7,21,31,9
2024-07-20,66,62,4,100.8,21.6,7,17,8
2024-07-21,67,58,9,25.8,22.4,15,16,4
2024-07-22,88,76,12,102.3,9.6,21,33,8
2024-07-23,118,93,25,67.7,12.0,27,29,6
2024-07-24,97,89,8,83.2,21.5,11,25,12
2024-07-25,103,82,21,89.1,15.6,8,18,8
2024-07-26,89,77,12,91.4,17.0,9,22,8
2024-07-27,40,34,6,98.4,15.8,4,16,7
2024-07-28,63,54,9,40.4,10.4,10,20,4
2024-07-29,104,92,12,24.0,24.6,10,32,10
2024-07-30,127,111,16,56.0,16.0,25,54,8
2024-07-31,108,98,10,51.2,20.5,22,42,11
2024-08-01,114,89,25,72.3,21.8,12,38,9
2024-08-02,113,91,22,29.2,20.2,26,19,7
2024-08-03,40,37,3,48.1,13.3,6,16,6
2024-08-04,47,41,6,45.0,22.7,4,16,5
2024-08-05,82,70,12,57.0,15.5,20,21,7
2024-08-06,104,87,17,98.7,12.5,10,28,9
2024-08-07,115,93,22,45.8,9.7,15,26,9
2024-08-08,111,89,22,61.6,15.6,21,42,10
2024-08-09,94,88,6,114.5,9.3,20,27,12
2024-08-10,81,76,5,30.0,18.3,19,15,3
2024-08-11,52,43,9,55.2,17.6,9,17,5
2024-08-12,93,73,20,29.5,14.2,11,20,6
2024-08-13,76,65,11,55.6,17.5,9,18,9
2024-08-14,91,75,16,111.2,16.4,9,34,9
2024-08-15,87,74,13,24.2,19.6,19,21,8
2024-08-16,107,93,14,108.6,22.5,22,44,11
2024-08-17,48,41,7,27.7,11.4,5,17,3
2024-08-18,58,48,10,99.4,17.4,10,10,5
2024-08-19,102,92,10,70.2,21.1,24,20,8
2024-08-20,104,89,15,69.3,10.2,23,32,10
2024-08-21,86,68,18,67.8,22.8,18,24,8
2024-08-22,78,73,5,38.7,24.1,14,20,6
2024-08-23,84,79,5,43.8,18.6,17,18,11
2024-08-24,46,40,6,33.0,18.6,11,12,7
2024-08-25,40,31,9,19.8,18.9,6,12,7
2024-08-26,98,76,22,108.3,17.3,17,22,7
