participant_id,age,pre_self_efficacy,post_self_efficacy,sessions_attended,group_cohort
P-001,51,17,29,4,Cohort B
P-002,26,14,15,6,Cohort C
P-003,23,20,21,5,Cohort A
P-004,22,11,14,6,Cohort B
P-005,24,24,40,5,Cohort C
P-006,50,9,6,6,Cohort C
P-007,48,23,29,5,Cohort B
P-008,53,11,18,5,Cohort C
P-009,34,12,13,5,Cohort B
P-010,31,18,25,4,Cohort A
P-011,48,24,26,6,Cohort C
P-012,37,8,13,4,Cohort C
P-013,35,18,23,3,Cohort C
P-014,37,15,19,5,Cohort C
P-015,46,10,10,4,Cohort B
P-016,44,17,26,6,Cohort B
P-017,44,10,7,6,Cohort C
P-018,41,16,17,6,Cohort B
P-019,27,11,11,5,Cohort C
P-020,30,12,16,3,Cohort C
P-021,19,14,13,6,Cohort C
P-022,19,19,17,5,Cohort A
P-023,52,10,14,6,Cohort B
P-024,50,16,14,6,Cohort A
P-025,43,12,17,6,Cohort B
P-026,19,11,12,4,Cohort A
P-027,34,18,24,5,Cohort B
P-028,23,12,14,6,Cohort B
P-029,40,12,26,5,Cohort A
P-030,47,15,16,4,Cohort B
P-031,21,9,11,5,Cohort A
P-032,30,12,13,6,Cohort A
P-033,44,16,29,6,Cohort C
P-034,34,7,17,5,Cohort B
P-035,40,9,10,3,Cohort A
