student_id,gpa,practice_hours,supervision_hours,prior_experience_years,self_efficacy_score,evaluation_score
S001,3.57,352,27,3.1,30,70.9
S002,3.28,388,51,0.0,29,75.2
S003,2.88,387,50,3.3,33,70.2
S004,3.37,333,41,0.0,25,64.7
S005,3.68,396,57,2.8,50,92.8
S006,3.82,321,67,3.6,41,83.6
S007,3.59,391,64,4.8,38,83.0
S008,3.11,370,60,1.9,24,72.1
S009,2.94,265,37,0.1,31,61.4
S010,3.00,424,37,2.0,41,77.7
S011,3.71,359,50,3.1,44,81.1
S012,3.57,230,32,0.2,37,65.5
S013,3.57,515,32,0.0,45,83.5
S014,3.38,354,41,2.9,29,71.4
S015,2.97,594,64,0.9,23,81.5
S016,3.64,383,48,3.9,39,89.9
S017,3.87,337,47,5.7,32,81.9
S018,3.53,425,35,6.0,30,77.2
S019,3.13,325,51,2.2,35,72.9
S020,4.00,292,65,0.0,29,75.6
S021,3.41,541,20,3.5,27,74.6
S022,3.49,468,47,5.7,27,83.8
S023,3.50,407,43,4.5,36,87.1
S024,3.73,280,42,2.5,31,74.5
S025,3.28,381,20,1.8,31,69.5
S026,3.77,388,28,3.8,40,79.7
S027,3.13,298,51,2.2,29,77.2
S028,3.50,391,45,2.8,28,66.4
S029,2.50,433,61,3.0,33,78.0
S030,4.00,395,44,2.8,47,88.2
S031,3.31,400,41,1.8,34,79.7
S032,3.69,303,47,4.2,42,85.0
S033,3.59,379,73,2.3,32,86.7
S034,3.58,451,35,0.1,36,75.3
S035,2.89,343,48,1.6,34,71.5
S036,3.24,428,38,0.7,20,71.1
S037,3.03,302,49,3.9,26,70.0
S038,2.71,583,65,5.3,37,82.1
S039,4.00,379,56,1.2,32,83.6
S040,3.37,240,51,0.5,36,72.4
S041,3.42,510,47,1.9,38,84.2
S042,3.80,387,52,0.0,44,89.0
S043,3.24,512,20,0.5,42,74.7
S044,3.19,465,35,0.1,34,74.6
S045,2.84,220,33,4.6,31,67.4
S046,3.22,425,53,1.1,39,80.5
S047,3.60,325,61,5.0,28,81.6
S048,3.39,566,63,2.8,34,80.6
S049,3.58,476,37,4.3,38,83.2
S050,3.37,390,51,4.7,47,96.9
S051,2.80,309,38,2.7,36,69.3
S052,4.00,328,58,3.5,44,87.1
S053,3.40,325,29,3.5,40,87.0
S054,3.18,428,63,4.5,39,78.2
S055,3.75,469,48,1.1,39,85.3
S056,2.90,457,44,1.2,36,79.3
S057,3.12,418,27,2.9,28,71.9
S058,3.18,277,37,2.9,45,71.2
S059,3.73,524,50,2.9,24,84.9
S060,2.99,423,51,2.2,40,81.4
S061,2.95,444,29,7.3,30,81.7
S062,3.16,468,31,1.5,33,76.5
S063,3.79,600,45,0.0,37,85.5
S064,3.13,360,47,6.2,22,62.7
S065,3.45,308,42,3.2,35,70.9
S066,3.66,321,38,1.5,39,76.2
S067,3.57,389,59,0.0,47,84.5
S068,3.71,424,49,2.0,37,80.3
S069,2.85,299,37,3.7,45,76.1
S070,4.00,372,31,6.8,38,88.8
S071,2.50,423,46,4.6,22,69.3
S072,3.28,326,63,2.2,29,80.8
S073,3.81,334,46,3.2,38,76.5
S074,4.00,435,54,0.7,39,80.0
S075,3.52,475,28,1.6,38,84.8
S076,3.42,417,58,1.7,31,69.8
S077,3.00,392,45,0.0,26,67.2
S078,3.52,336,50,4.0,38,81.1
S079,2.93,431,24,1.7,26,73.4
S080,3.17,421,33,0.0,26,70.1
S081,2.68,374,26,4.3,27,69.9
S082,3.41,304,48,2.3,25,78.7
S083,3.59,390,23,4.6,34,84.5
S084,2.87,515,51,1.6,35,77.3
S085,3.52,431,56,6.5,30,85.3
S086,3.62,472,42,0.0,30,82.9
S087,3.47,431,49,0.0,33,74.9
S088,3.69,512,48,3.1,48,84.1
S089,3.87,221,33,3.6,27,69.7
S090,3.54,429,36,3.0,31,83.5
S091,3.21,417,59,2.3,39,81.1
S092,3.04,326,45,0.1,36,73.4
S093,3.11,347,63,1.5,42,76.0
S094,3.48,463,43,3.8,46,83.9
S095,3.93,410,49,0.6,36,94.1
S096,3.39,423,50,0.0,33,81.8
S097,3.43,549,20,0.0,28,70.9
S098,3.38,309,38,0.5,43,73.1
S099,2.83,364,34,0.4,39,65.2
S100,3.28,441,20,5.0,34,78.5
S101,3.02,373,66,2.3,37,83.7
S102,3.24,242,43,0.0,33,60.0
S103,2.94,374,41,4.6,23,69.2
S104,3.27,280,39,3.2,29,65.5
S105,3.59,319,52,1.1,37,74.8
S106,2.66,261,50,1.0,25,63.1
S107,3.21,333,39,2.0,32,69.8
S108,3.25,486,54,3.5,28,77.1
S109,3.54,446,31,3.2,37,70.1
S110,2.91,483,41,5.5,40,83.6
S111,2.52,462,68,2.8,29,69.5
S112,3.24,413,56,3.5,24,74.1
S113,3.22,404,57,2.6,39,86.4
S114,3.21,393,58,5.2,27,72.9
S115,3.17,392,54,0.0,29,66.9
S116,3.29,424,44,4.0,41,86.6
S117,3.05,530,46,4.3,42,82.6
S118,3.56,504,37,3.6,22,73.6
S119,3.21,367,54,2.9,33,83.4
S120,3.16,410,38,1.9,49,79.9
