client_id,program_type,days_homeless_prior,age,gender,has_children,employed_at_exit
CLT-001,Rapid Rehousing,56,44,Male,0,0
CLT-002,Rapid Rehousing,361,21,Male,0,0
CLT-003,Rapid Rehousing,158,28,Female,1,0
CLT-004,Rapid Rehousing,110,44,Female,1,0
CLT-005,Rapid Rehousing,20,31,Male,1,1
CLT-006,Rapid Rehousing,20,37,Male,1,1
CLT-007,Rapid Rehousing,7,28,Male,1,0
CLT-008,Rapid Rehousing,241,55,Male,0,0
CLT-009,Rapid Rehousing,110,55,Male,0,0
CLT-010,Rapid Rehousing,148,53,Male,1,0
CLT-011,Rapid Rehousing,7,25,Female,1,1
CLT-012,Rapid Rehousing,420,59,Male,0,1
CLT-013,Rapid Rehousing,214,48,Male,0,0
CLT-014,Rapid Rehousing,29,27,Female,1,0
CLT-015,Rapid Rehousing,24,29,Male,0,0
CLT-016,Rapid Rehousing,24,28,Non-binary,0,0
CLT-017,Rapid Rehousing,44,32,Non-binary,0,0
CLT-018,Rapid Rehousing,89,54,Male,1,1
CLT-019,Rapid Rehousing,68,53,Male,1,1
CLT-020,Rapid Rehousing,41,43,Male,0,1
CLT-021,Rapid Rehousing,114,44,Male,1,0
CLT-022,Rapid Rehousing,18,57,Male,0,1
CLT-023,Rapid Rehousing,41,55,Female,0,1
CLT-024,Rapid Rehousing,55,42,Male,1,1
CLT-025,Rapid Rehousing,73,47,Male,1,1
CLT-026,Rapid Rehousing,185,55,Male,1,0
CLT-027,Rapid Rehousing,27,21,Female,1,1
CLT-028,Rapid Rehousing,87,55,Male,0,1
CLT-029,Rapid Rehousing,108,57,Male,0,0
CLT-030,Rapid Rehousing,7,34,Male,0,1
CLT-031,Rapid Rehousing,112,23,Non-binary,0,1
CLT-032,Rapid Rehousing,22,21,Male,0,1
CLT-033,Rapid Rehousing,8,25,Female,1,0
CLT-034,Rapid Rehousing,357,46,Female,0,1
CLT-035,Rapid Rehousing,404,34,Male,1,0
CLT-036,Transitional Housing,330,59,Female,1,0
CLT-037,Transitional Housing,73,47,Male,1,0
CLT-038,Transitional Housing,21,29,Female,0,0
CLT-039,Transitional Housing,231,35,Female,0,0
CLT-040,Transitional Housing,116,35,Male,0,1
CLT-041,Transitional Housing,26,46,Male,0,1
CLT-042,Transitional Housing,137,33,Female,1,1
CLT-043,Transitional Housing,14,52,Male,0,0
CLT-044,Transitional Housing,480,59,Male,0,0
CLT-045,Transitional Housing,60,52,Male,1,1
CLT-046,Transitional Housing,217,24,Female,0,0
CLT-047,Transitional Housing,75,50,Female,1,0
CLT-048,Transitional Housing,147,57,Male,1,0
CLT-049,Transitional Housing,158,43,Male,1,0
CLT-050,Transitional Housing,41,59,Male,0,1
CLT-051,Transitional Housing,699,35,Female,0,1
CLT-052,Transitional Housing,298,49,Male,1,1
CLT-053,Transitional Housing,561,56,Female,0,0
CLT-054,Transitional Housing,450,33,Male,1,0
CLT-055,Transitional Housing,182,52,Female,1,0
CLT-056,Transitional Housing,510,27,Male,1,0
CLT-057,Transitional Housing,19,42,Male,0,0
CLT-058,Transitional Housing,44,48,Male,0,1
CLT-059,Transitional Housing,14,22,Female,1,1
CLT-060,Transitional Housing,79,26,Female,0,0
CLT-061,Transitional Housing,98,48,Male,0,1
CLT-062,Transitional Housing,63,48,Female,0,1
CLT-063,Transitional Housing,353,40,Female,1,0
CLT-064,Transitional Housing,88,50,Female,1,1
CLT-065,Transitional Housing,66,31,Male,0,0
CLT-066,Transitional Housing,156,48,Male,0,0
CLT-067,Transitional Housing,30,45,Male,1,0
CLT-068,Transitional Housing,324,59,Female,1,1
CLT-069,Transitional Housing,15,53,Female,0,0
CLT-070,Transitional Housing,867,21,Female,0,0
