client_id,group,age,gender,baseline_score,housing_stability_score,months_in_program
HS-2001,ICM,60,Non-binary,57.0,53.1,12
HS-2002,ICM,50,Female,48.3,79.7,6
HS-2003,ICM,36,Female,40.9,47.5,6
HS-2004,ICM,64,Male,61.9,84.8,18
HS-2005,ICM,29,Female,57.9,60.8,14
HS-2006,ICM,42,Non-binary,76.6,81.4,8
HS-2007,ICM,60,Female,52.6,64.6,12
HS-2008,ICM,40,Male,66.4,76.0,11
HS-2009,ICM,44,Male,54.6,55.4,13
HS-2010,ICM,32,Female,50.9,68.6,14
HS-2011,ICM,32,Female,34.9,71.3,10
HS-2012,ICM,45,Male,57.2,83.5,6
HS-2013,ICM,57,Male,41.6,93.5,24
HS-2014,ICM,61,Female,44.9,79.0,15
HS-2015,ICM,45,Female,49.6,75.6,17
HS-2016,ICM,24,Female,47.2,59.7,20
HS-2017,ICM,43,Female,34.4,55.0,14
HS-2018,ICM,23,Male,42.0,74.3,22
HS-2019,ICM,45,Male,59.3,73.6,22
HS-2020,ICM,51,Male,56.8,79.3,17
HS-2021,ICM,59,Female,57.0,80.5,12
HS-2022,ICM,23,Female,51.7,76.3,7
HS-2023,ICM,42,Female,56.6,54.4,8
HS-2024,ICM,54,Male,52.4,82.7,22
HS-2025,ICM,33,Female,48.3,70.7,10
HS-2026,ICM,43,Female,61.6,60.5,22
HS-2027,ICM,46,Male,47.5,67.0,22
HS-2028,ICM,48,Female,42.3,55.2,22
HS-2029,ICM,63,Male,62.1,67.9,7
HS-2030,ICM,49,Female,62.3,81.0,7
HS-3001,TAU,49,Female,58.5,61.8,13
HS-3002,TAU,44,Female,67.9,64.7,19
HS-3003,TAU,58,Male,55.7,70.5,21
HS-3004,TAU,53,Male,48.4,57.1,19
HS-3005,TAU,54,Female,48.6,70.5,17
HS-3006,TAU,22,Female,30.7,34.8,24
HS-3007,TAU,40,Male,51.5,66.7,20
HS-3008,TAU,23,Female,49.8,62.7,7
HS-3009,TAU,47,Male,36.7,59.0,7
HS-3010,TAU,53,Male,49.7,55.3,24
HS-3011,TAU,27,Male,63.4,53.5,22
HS-3012,TAU,53,Male,42.7,50.6,15
HS-3013,TAU,25,Female,40.4,29.5,11
HS-3014,TAU,32,Male,61.0,58.2,20
HS-3015,TAU,38,Male,56.3,77.3,16
HS-3016,TAU,59,Female,80.0,57.3,10
HS-3017,TAU,45,Female,36.8,70.9,6
HS-3018,TAU,26,Non-binary,57.2,46.9,13
HS-3019,TAU,55,Male,53.2,43.7,17
HS-3020,TAU,27,Female,50.6,51.5,17
HS-3021,TAU,43,Non-binary,59.1,47.6,10
HS-3022,TAU,32,Non-binary,49.7,45.4,12
HS-3023,TAU,37,Male,30.6,68.3,9
HS-3024,TAU,54,Male,41.5,86.9,11
HS-3025,TAU,30,Female,63.6,52.7,18
HS-3026,TAU,27,Female,61.7,38.3,20
HS-3027,TAU,37,Male,46.3,71.2,8
HS-3028,TAU,50,Male,55.0,41.9,13
HS-3029,TAU,24,Male,77.8,45.4,21
HS-3030,TAU,41,Female,49.7,68.9,18
