word,sentiment_score
abandoned,-3
abrupt,-2
accessible,1
accommodating,2
addressed,1
aggressive,-3
amazing,3
anxious,-1
apathetic,-2
appreciated,2
attentive,2
authentic,1
available,1
awful,-3
bad,-2
balanced,1
beneficial,2
biased,-2
broken,-2
bureaucratic,-2
calm,1
canceled,-2
capable,1
careless,-2
caring,2
chaotic,-2
cold,-2
collaborative,1
comfortable,1
comforting,2
communicative,2
compassionate,3
complicated,-1
comprehensive,1
condescending,-3
confused,-1
confusing,-2
constructive,1
courteous,2
creative,1
crisis,-2
damaging,-2
deceptive,-3
declined,-1
dedicated,2
delayed,-1
denied,-2
dependable,2
despair,-3
destructive,-3
detached,-1
deteriorated,-2
difficult,-1
diligent,2
disappointing,-2
discriminatory,-3
dismissive,-3
disorganized,-2
disrespectful,-3
distressing,-2
draining,-2
educational,1
effective,2
efficient,2
empathetic,3
empowering,2
encouraging,2
excellent,3
exceptional,3
excluded,-2
exhausting,-2
failed,-2
fantastic,3
flexible,1
forgotten,-2
friendly,2
frustrating,-2
generic,-1
generous,2
genuine,2
good,1
grateful,2
great,2
growth,1
harmful,-3
healing,2
heartfelt,2
helpful,2
helpless,-2
holistic,1
hope,2
hopeless,-3
horrible,-3
hostile,-3
ignored,-2
impatient,-2
impersonal,-2
impressed,2
improved,1
inadequate,-2
inclusive,1
incompetent,-3
inconsistent,-2
indifferent,-2
ineffective,-2
informative,1
innovative,1
insensitive,-2
insightful,2
insufficient,-1
intimidating,-2
judgmental,-3
kind,2
knowledgeable,2
late,-1
lost,-1
meaningful,2
meaningless,-2
misleading,-2
misunderstood,-2
motivated,1
negative,-1
neglectful,-3
nice,1
nurturing,2
organized,1
outstanding,3
overlooked,-2
overwhelming,-1
painful,-2
patient,2
personalized,2
pleasant,1
pleased,2
pointless,-2
poor,-2
positive,1
proactive,2
productive,1
professional,2
progress,1
prompt,1
reassuring,2
recovery,1
regressive,-2
rejected,-2
reliable,2
remarkable,3
repetitive,-1
resilience,1
resolved,1
respectful,2
responsive,2
rigid,-1
rude,-2
rushed,-2
safe,1
satisfied,2
scared,-1
skilled,2
slow,-1
strength,1
stressful,-2
successful,2
suffering,-2
supportive,2
talented,2
tedious,-1
terrible,-3
thankful,2
thorough,2
thoughtful,2
timely,1
toxic,-3
transformative,3
transparent,1
trustworthy,2
unavailable,-2
uncaring,-2
unclear,-1
uncomfortable,-1
understanding,2
unfair,-2
unfriendly,-2
unheard,-2
unhelpful,-2
unpleasant,-2
unprofessional,-3
unreliable,-2
unresponsive,-2
unsympathetic,-2
uplifting,2
useless,-3
vague,-1
valuable,2
warm,2
wasteful,-2
welcoming,2
wellness,1
wonderful,3
worried,-1
worsened,-2
worst,-3
wrong,-1
