month,date,caseload,period
1,2018-01,500.8,pre
2,2018-02,503.4,pre
3,2018-03,507.3,pre
4,2018-04,522.5,pre
5,2018-05,513.1,pre
6,2018-06,495.5,pre
7,2018-07,526.0,pre
8,2018-08,520.0,pre
9,2018-09,523.7,pre
10,2018-10,531.7,pre
11,2018-11,536.5,pre
12,2018-12,553.5,pre
13,2019-01,548.8,pre
14,2019-02,543.7,pre
15,2019-03,533.9,pre
16,2019-04,532.8,pre
17,2019-05,554.7,pre
18,2019-06,573.7,pre
19,2019-07,557.6,pre
20,2019-08,558.4,pre
21,2019-09,571.0,pre
22,2019-10,544.2,pre
23,2019-11,564.3,pre
24,2019-12,579.4,pre
25,2020-01,588.1,pre
26,2020-02,574.4,pre
27,2020-03,586.6,pre
28,2020-04,587.7,pre
29,2020-05,598.7,pre
30,2020-06,573.3,pre
31,2020-07,459.5,post
32,2020-08,429.3,post
33,2020-09,413.7,post
34,2020-10,444.9,post
35,2020-11,441.3,post
36,2020-12,469.1,post
37,2021-01,467.0,post
38,2021-02,439.7,post
39,2021-03,471.7,post
40,2021-04,445.0,post
41,2021-05,459.7,post
42,2021-06,457.6,post
43,2021-07,464.7,post
44,2021-08,476.3,post
45,2021-09,474.6,post
46,2021-10,471.2,post
47,2021-11,476.7,post
48,2021-12,475.2,post
49,2022-01,459.6,post
50,2022-02,459.2,post
51,2022-03,464.0,post
52,2022-04,479.5,post
53,2022-05,469.2,post
54,2022-06,509.0,post
55,2022-07,462.7,post
56,2022-08,459.5,post
57,2022-09,488.5,post
58,2022-10,499.3,post
59,2022-11,486.6,post
60,2022-12,492.5,post
