assessment_id,client_id,assessment_date,pre_score,post_score
ASM-9001,CL-1001,2024-12-12,33.0,35.8
ASM-9002,CL-1002,2024-04-28,41.8,66.0
ASM-9003,CL-1003,2024-06-18,74.1,84.9
ASM-9004,CL-1007,2024-01-13,36.6,60.3
ASM-9005,CL-1008,2024-08-03,59.8,70.5
ASM-9006,CL-1009,2024-10-01,23.0,21.3
ASM-9007,CL-1010,2024-03-26,53.9,41.6
ASM-9008,CL-1011,2024-09-07,55.2,72.7
ASM-9009,CL-1013,2024-04-11,66.5,83.0
ASM-9010,CL-1017,2024-10-01,36.6,61.0
ASM-9011,CL-1019,2024-03-18,35.0,27.0
ASM-9012,CL-1020,2024-11-28,21.5,7.1
ASM-9013,CL-1021,2024-04-19,39.4,31.4
ASM-9014,CL-1022,2024-01-05,64.5,70.5
ASM-9015,CL-1023,2024-12-03,48.6,64.7
ASM-9016,CL-1024,2024-09-19,26.5,31.7
ASM-9017,CL-1025,2024-10-02,63.6,85.0
ASM-9018,CL-1026,2024-11-17,38.1,48.8
ASM-9019,CL-1027,2024-01-02,79.9,98.8
ASM-9020,CL-1028,2024-07-22,26.5,40.0
ASM-9021,CL-1030,2024-08-03,74.0,71.9
ASM-9022,CL-1031,2024-03-03,27.6,37.6
ASM-9023,CL-1033,2024-10-18,62.7,62.9
ASM-9024,CL-1034,2024-10-17,37.7,42.9
ASM-9025,CL-1037,2024-07-04,67.6,57.2
ASM-9026,CL-1039,2024-11-21,72.7,79.8
ASM-9027,CL-1040,2024-04-14,47.1,41.2
ASM-9028,CL-1041,2024-06-27,47.2,48.8
ASM-9029,CL-1042,2024-02-11,45.6,57.2
ASM-9030,CL-1043,2024-06-05,61.2,65.2
ASM-9031,CL-1044,2024-02-27,25.1,27.4
ASM-9032,CL-1045,2024-12-24,42.4,32.6
ASM-9033,CL-1046,2024-01-19,77.4,84.9
ASM-9034,CL-1047,2024-11-04,44.6,64.5
ASM-9035,CL-1048,2024-07-28,75.0,62.1
ASM-9036,CL-1049,2024-05-20,38.7,27.8
ASM-9037,CL-1050,2024-09-07,29.3,33.6
ASM-9038,CL-1051,2024-02-12,70.7,70.4
ASM-9039,CL-1052,2024-05-19,33.6,35.8
ASM-9040,CL-1053,2024-09-25,69.1,78.6
ASM-9041,CL-1054,2024-11-18,21.6,43.8
ASM-9042,CL-1056,2024-12-09,21.7,17.6
ASM-9043,CL-1057,2024-05-11,41.1,33.4
ASM-9044,CL-1058,2024-03-19,59.4,47.2
ASM-9045,CL-1059,2024-12-21,78.3,67.0
ASM-9046,CL-1060,2024-09-07,42.6,45.7
ASM-9047,CL-1061,2024-03-12,38.7,36.7
ASM-9048,CL-1062,2024-10-20,25.1,12.2
ASM-9049,CL-1063,2024-03-25,57.1,69.1
ASM-9050,CL-1064,2024-05-15,59.7,64.1
ASM-9051,CL-1065,2024-08-14,36.4,51.6
ASM-9052,CL-1066,2024-02-12,45.8,42.1
ASM-9053,CL-1067,2024-11-19,49.2,60.9
ASM-9054,CL-1068,2024-01-08,43.7,52.7
ASM-9055,CL-1069,2024-01-07,38.1,31.5
ASM-9056,CL-1071,2024-03-25,35.3,33.4
ASM-9057,CL-1072,2024-01-16,64.8,56.8
ASM-9058,CL-1073,2024-07-18,62.2,67.2
ASM-9059,CL-1074,2024-11-26,41.3,42.2
ASM-9060,CL-1075,2024-12-02,46.2,49.6
ASM-9061,CL-1076,2024-02-28,38.8,41.0
ASM-9062,CL-1077,2024-07-23,58.4,55.0
ASM-9063,CL-1078,2024-07-01,78.0,69.9
ASM-9064,CL-1079,2024-10-15,69.9,91.7
ASM-9065,CL-1080,2024-02-14,70.7,65.4
