child_id,age,gender,placement_type,wellbeing_t0,wellbeing_t1,wellbeing_t2,behavior_t0,behavior_t1,behavior_t2,academic_t0,academic_t1,academic_t2
CH-4000,13,Male,Foster home,64.5,64.4,62.2,13.6,14.7,12.9,65.4,60.9,57.3
CH-4001,6,Non-binary,Foster home,53.7,63.0,72.0,24.7,21.4,15.6,82.2,88.6,86.0
CH-4002,9,Female,Group home,29.3,43.4,45.1,13.2,4.7,7.4,66.2,73.3,79.2
CH-4003,11,Male,Residential treatment,24.7,25.6,33.2,41.0,36.4,29.3,34.2,39.1,45.7
CH-4004,4,Male,Foster home,42.8,46.9,58.6,15.7,11.0,11.1,72.1,77.4,73.5
CH-4005,13,Male,Kinship care,29.8,32.4,47.2,32.4,30.8,31.1,80.6,87.2,85.6
CH-4006,3,Female,Residential treatment,36.1,35.3,49.2,40.7,35.4,35.2,53.7,62.4,64.3
CH-4007,7,Male,Kinship care,64.7,70.5,80.4,25.0,23.8,19.2,89.8,86.9,89.3
CH-4008,15,Male,Foster home,29.2,27.4,36.0,30.9,26.7,25.6,58.1,56.9,60.2
CH-4009,3,Non-binary,Foster home,60.9,66.6,66.9,32.4,24.1,20.6,57.2,66.5,74.6
CH-4010,7,Non-binary,Kinship care,50.5,47.6,55.1,39.5,37.1,30.1,52.4,49.8,59.1
CH-4011,17,Non-binary,Foster home,55.9,60.7,57.9,22.7,27.5,29.6,44.4,43.0,46.5
CH-4012,4,Male,Residential treatment,69.0,83.6,89.3,14.4,14.3,18.5,39.9,42.8,46.9
CH-4013,6,Non-binary,Kinship care,62.8,65.8,74.2,23.1,26.6,23.4,44.9,40.9,36.2
CH-4014,11,Male,Kinship care,20.4,29.6,25.8,12.4,2.9,0,60.8,60.0,62.3
CH-4015,11,Male,Residential treatment,34.6,39.1,42.2,13.3,13.2,8.5,54.7,62.7,58.5
CH-4016,13,Non-binary,Foster home,23.6,33.2,44.2,13.8,6.7,4.7,38.4,36.2,38.1
CH-4017,16,Male,Residential treatment,68.5,80.6,77.6,32.8,30.9,21.1,35.6,41.9,40.4
CH-4018,9,Female,Residential treatment,32.8,35.8,32.0,23.3,28.1,22.1,77.0,78.8,80.1
CH-4019,14,Non-binary,Residential treatment,29.3,30.2,44.6,30.3,28.4,29.6,33.4,37.2,39.7
CH-4020,16,Non-binary,Kinship care,23.4,28.6,40.6,,3.4,6.3,54.2,63.3,66.8
CH-4021,12,Non-binary,Foster home,57.2,60.6,67.3,28.3,32.3,25.4,73.0,71.6,72.5
CH-4022,13,Non-binary,Group home,47.4,61.0,74.7,10.3,9.6,8.0,36.0,39.1,41.7
CH-4023,5,Female,Foster home,72.8,75.2,73.4,39.2,39.8,39.0,89.2,94.0,89.1
CH-4024,16,Non-binary,Group home,75.9,73.0,85.6,19.3,22.6,23.7,39.3,38.5,36.7
CH-4025,8,Male,Group home,50.3,50.3,63.5,11.8,11.3,13.7,32.6,32.6,29.6
CH-4026,7,Male,Residential treatment,53.1,56.7,51.9,12.6,15.8,19.4,62.7,70.2,73.9
CH-4027,5,Female,Kinship care,22.5,24.8,,44.0,34.6,30.0,70.9,75.9,76.2
CH-4028,11,Female,Kinship care,75.5,75.2,73.5,38.0,30.7,26.9,40.8,49.7,56.4
CH-4029,9,Non-binary,Kinship care,36.0,46.7,43.9,40.5,43.4,36.7,,80.9,80.5
CH-4030,15,Male,Kinship care,21.4,20.3,21.9,40.3,44.8,39.0,68.5,69.5,79.2
CH-4031,11,Female,Foster home,26.9,41.3,39.9,43.7,37.7,29.3,56.1,62.0,61.7
CH-4032,12,Non-binary,Foster home,43.1,49.6,49.7,34.8,24.8,28.7,62.3,68.1,74.2
CH-4033,13,Male,Group home,45.9,59.9,73.3,31.8,31.8,23.7,84.0,86.6,91.6
CH-4034,8,Female,Group home,53.3,52.1,60.4,23.3,24.5,17.1,64.1,65.2,72.7
CH-4035,7,Female,Kinship care,45.8,52.4,60.5,26.3,22.9,16.1,58.4,66.9,73.8
CH-4036,5,Non-binary,Foster home,37.0,45.3,52.7,13.3,17.6,11.1,48.6,55.7,52.9
CH-4037,3,Male,Residential treatment,56.7,67.1,71.2,41.0,39.6,40.4,53.0,54.0,51.2
CH-4038,14,Male,Foster home,66.7,66.1,77.2,34.4,31.4,29.8,85.0,81.8,78.8
CH-4039,10,Non-binary,Group home,77.0,89.8,97.1,35.2,32.8,35.3,62.9,71.4,
CH-4040,10,Female,Group home,65.1,76.9,77.4,37.2,34.5,28.1,56.4,,60.6
CH-4041,8,Female,Foster home,28.3,27.9,36.8,34.7,,21.8,62.6,63.8,61.9
CH-4042,9,Female,Foster home,71.4,81.7,84.3,10.2,5.5,6.8,81.2,90.5,91.8
CH-4043,14,Non-binary,Kinship care,49.3,49.8,54.5,23.6,23.6,25.6,73.5,81.1,89.9
CH-4044,12,Non-binary,Foster home,74.4,81.2,89.5,12.9,9.3,12.3,40.9,39.8,39.7
CH-4045,10,Female,Group home,65.7,68.3,,39.1,32.9,24.1,31.2,34.3,44.3
CH-4046,8,Male,Foster home,66.9,74.9,85.0,43.2,,26.5,39.1,36.0,
CH-4047,12,Male,Residential treatment,62.0,72.3,70.7,31.3,32.5,24.2,79.2,88.7,85.3
CH-4048,3,Female,Residential treatment,43.8,53.1,49.6,34.2,33.6,25.1,76.3,84.1,88.1
CH-4049,4,Non-binary,Foster home,40.8,44.4,46.8,27.7,22.8,25.5,79.3,,85.3
