student_id,program_track,first_attempt_result,gpa,field_placement_hours,cohort_year
1022,Clinical,Fail,3.23,901,2023
1031,Clinical,Pass,3.50,780,2023
1105,Community,Pass,3.60,1011,2022
1164,Policy,Fail,2.70,791,2022
1160,Policy,Fail,3.34,832,2023
1110,Community,Pass,3.44,747,2021
1123,Community,Fail,3.84,882,2023
1200,Policy,Pass,3.29,1063,2021
1091,Community,Fail,2.96,712,2021
1088,Community,Pass,3.53,962,2023
1043,Clinical,Pass,4.00,906,2022
1046,Clinical,Pass,3.27,953,2022
1174,Policy,Pass,3.19,856,2021
1056,Clinical,Pass,3.61,666,2023
1117,Community,Pass,3.29,842,2022
1087,Community,Fail,3.12,938,2022
1090,Community,Pass,3.54,761,2021
1107,Community,Pass,3.68,915,2023
1165,Policy,Fail,2.84,606,2023
1170,Policy,Fail,3.52,818,2022
1027,Clinical,Pass,3.66,957,2023
1024,Clinical,Pass,3.71,799,2021
1089,Community,Pass,3.62,975,2023
1177,Policy,Fail,2.50,711,2023
1185,Policy,Pass,3.54,773,2021
1134,Community,Pass,3.64,773,2021
1075,Clinical,Pass,3.27,804,2023
1086,Community,Pass,4.00,1027,2023
1066,Clinical,Pass,3.85,887,2023
1179,Policy,Pass,3.63,1047,2022
1119,Community,Pass,3.29,863,2023
1083,Community,Pass,4.00,1001,2021
1070,Clinical,Pass,3.60,889,2021
1127,Community,Pass,3.58,1094,2021
1077,Clinical,Pass,3.09,1200,2021
1012,Clinical,Pass,3.43,872,2021
1141,Community,Pass,3.41,890,2023
1131,Community,Pass,3.73,1007,2021
1113,Community,Pass,3.07,954,2021
1161,Policy,Pass,3.31,913,2023
1076,Clinical,Pass,3.66,918,2023
1054,Clinical,Fail,2.50,990,2023
1159,Policy,Pass,3.35,849,2023
1001,Clinical,Pass,3.36,873,2023
1102,Community,Pass,4.00,863,2023
1041,Clinical,Pass,3.82,957,2022
1121,Community,Fail,2.80,674,2022
1199,Policy,Pass,3.67,894,2023
1052,Clinical,Fail,3.19,971,2023
1184,Policy,Pass,3.72,947,2022
1048,Clinical,Pass,3.51,979,2021
1063,Clinical,Pass,3.33,949,2022
1018,Clinical,Pass,3.74,988,2023
1198,Policy,Fail,2.56,860,2023
1040,Clinical,Pass,3.46,938,2022
1111,Community,Pass,3.65,992,2023
1186,Policy,Pass,3.30,758,2023
1192,Policy,Fail,3.04,753,2022
1195,Policy,Fail,3.21,969,2023
1114,Community,Fail,3.68,600,2023
1187,Policy,Fail,2.75,1033,2021
1029,Clinical,Fail,3.21,942,2021
1103,Community,Pass,3.72,971,2022
1150,Community,Pass,3.43,839,2023
1194,Policy,Pass,3.96,1003,2022
1042,Clinical,Pass,3.46,889,2023
1037,Clinical,Pass,3.54,957,2021
1158,Policy,Pass,3.65,1080,2021
1115,Community,Pass,3.20,779,2022
1104,Community,Pass,3.36,858,2022
1138,Community,Fail,2.91,1010,2021
1140,Community,Fail,3.23,1083,2021
1057,Clinical,Pass,3.76,1032,2023
1003,Clinical,Pass,3.34,762,2021
1051,Clinical,Pass,3.49,960,2022
1039,Clinical,Pass,3.62,1080,2022
1168,Policy,Pass,3.33,1139,2023
1038,Clinical,Pass,3.55,824,2021
1135,Community,Fail,3.18,719,2023
1028,Clinical,Pass,3.83,809,2023
1136,Community,Fail,3.92,855,2021
1137,Community,Fail,3.07,885,2021
1073,Clinical,Fail,3.09,600,2022
1197,Policy,Pass,3.44,927,2021
1064,Clinical,Pass,3.63,1159,2023
1023,Clinical,Pass,4.00,1125,2023
1153,Policy,Fail,3.21,1030,2023
1025,Clinical,Fail,2.78,748,2023
1019,Clinical,Pass,3.95,1110,2023
1067,Clinical,Pass,3.83,988,2023
1050,Clinical,Pass,3.42,948,2023
