vignette_id,rater_1,rater_2,rater_3,rater_4
V001,7.3,7.1,6.4,8.3
V002,7.1,7.0,6.2,7.1
V003,3.3,4.0,3.7,5.1
V004,6.1,7.6,5.6,5.9
V005,7.3,7.3,8.7,9.9
V006,4.7,5.1,4.8,3.4
V007,7.5,6.9,8.3,7.7
V008,6.5,5.1,6.4,5.1
V009,7.6,7.6,6.5,7.5
V010,4.3,4.6,2.7,3.1
V011,4.8,5.9,5.6,4.2
V012,7.0,8.2,6.5,7.3
V013,8.1,8.4,7.9,7.4
V014,7.5,8.2,6.8,8.4
V015,5.4,3.3,2.6,5.0
V016,5.7,4.7,4.4,5.7
V017,5.8,7.8,6.4,5.5
V018,4.7,4.0,3.5,3.9
V019,1.5,2.0,2.1,3.1
V020,5.9,5.1,6.3,4.5
V021,1.8,1.1,1.0,2.1
V022,7.3,7.7,3.8,7.4
V023,8.0,9.8,8.8,10.0
V024,7.7,10.0,7.3,7.9
V025,5.7,7.4,7.0,7.5
V026,6.6,5.0,5.3,3.2
V027,6.1,5.4,4.3,4.2
V028,6.9,6.6,5.2,5.1
V029,4.6,5.6,5.8,4.8
V030,1.9,3.6,3.4,4.5
V031,8.3,8.6,8.2,9.1
V032,2.9,5.2,3.4,4.5
V033,2.0,2.5,3.8,1.6
V034,2.6,4.5,2.3,3.2
V035,7.5,8.6,8.6,7.0
V036,4.2,4.4,2.0,4.1
V037,5.8,5.1,7.6,7.9
V038,4.9,4.3,4.5,5.6
V039,4.8,6.2,5.6,4.7
V040,7.7,8.4,9.6,8.2
V041,10.0,8.4,9.1,10.0
V042,3.2,4.2,1.1,5.7
V043,4.1,3.3,1.3,5.2
V044,7.5,8.9,9.1,9.9
V045,7.7,8.7,8.5,8.6
V046,4.1,6.6,7.2,8.4
V047,3.1,4.3,1.9,2.1
V048,3.4,2.9,1.4,2.3
V049,3.9,4.8,5.3,4.9
V050,7.1,8.5,6.3,6.5
