client_id,regional_office,program_type,enrollment_date,completion_status,days_enrolled
CL0001,Office_A,Counseling,2025-05-08,Completed,71
CL0002,Office_A,Housing Support,2025-09-03,Completed,165
CL0003,Office_A,Case Management,2025-02-07,In Progress,73
CL0004,Office_A,Counseling,2025-12-18,Completed,121
CL0005,Office_A,Housing Support,2025-01-25,Completed,54
CL0006,Office_A,Housing Support,2025-06-04,Completed,37
CL0007,Office_A,Case Management,2025-06-20,In Progress,81
CL0008,Office_A,Job Training,2025-07-03,Completed,155
CL0009,Office_A,Case Management,2025-06-19,Completed,63
CL0010,Office_A,Case Management,2025-04-25,In Progress,88
CL0011,Office_A,Job Training,2025-07-09,Not Completed,130
CL0012,Office_A,Case Management,2025-11-09,Completed,179
CL0013,Office_A,Housing Support,2025-12-08,Completed,55
CL0014,Office_A,Counseling,2025-11-23,Not Completed,156
CL0015,Office_A,Job Training,2025-01-08,Not Completed,22
CL0016,Office_A,Counseling,2025-10-23,Completed,94
CL0017,Office_A,Job Training,2025-11-15,Completed,50
CL0018,Office_A,Housing Support,2025-09-09,Not Completed,163
CL0019,Office_A,Housing Support,2025-04-05,Completed,144
CL0020,Office_A,Counseling,2025-01-28,In Progress,42
CL0021,Office_A,Housing Support,2025-07-20,Not Completed,30
CL0022,Office_A,Case Management,2025-09-09,Not Completed,155
CL0023,Office_A,Job Training,2025-09-25,Completed,82
CL0024,Office_A,Case Management,2025-07-06,In Progress,130
CL0025,Office_A,Case Management,2025-05-17,Not Completed,59
CL0026,Office_A,Counseling,2025-11-17,Completed,169
CL0027,Office_A,Case Management,2025-09-25,Not Completed,149
CL0028,Office_A,Counseling,2025-02-12,Completed,92
CL0029,Office_A,Housing Support,2025-10-03,In Progress,35
CL0030,Office_A,Counseling,2025-09-25,Not Completed,46
CL0031,Office_A,Housing Support,2025-03-09,Not Completed,149
CL0032,Office_A,Job Training,2025-12-23,Not Completed,65
CL0033,Office_A,Housing Support,2025-06-15,Completed,146
CL0034,Office_A,Counseling,2025-06-01,Completed,164
CL0035,Office_A,Counseling,2025-12-21,Completed,29
CL0036,Office_A,Case Management,2025-01-28,In Progress,98
CL0037,Office_A,Counseling,2025-08-07,Completed,152
CL0038,Office_A,Housing Support,2025-10-16,Not Completed,76
CL0039,Office_A,Job Training,2025-02-22,Completed,124
CL0040,Office_A,Case Management,2025-12-02,Completed,179
CL0041,Office_A,Counseling,2025-12-11,In Progress,41
CL0042,Office_A,Job Training,2025-03-14,Completed,60
CL0043,Office_A,Case Management,2025-02-15,Not Completed,154
CL0044,Office_A,Case Management,2025-09-27,In Progress,17
CL0045,Office_A,Housing Support,2025-03-14,Not Completed,138
CL0046,Office_A,Case Management,2025-01-06,Completed,111
CL0047,Office_A,Housing Support,2025-08-10,Completed,122
CL0048,Office_A,Case Management,2025-01-19,Completed,152
CL0049,Office_A,Counseling,2025-10-16,Completed,142
CL0050,Office_A,Case Management,2025-09-03,In Progress,61
CL0051,Office_A,Counseling,2025-04-13,Completed,44
CL0052,Office_A,Job Training,2025-02-14,Completed,163
CL0053,Office_A,Job Training,2025-12-11,Completed,75
CL0054,Office_A,Case Management,2025-05-15,Completed,94
CL0055,Office_A,Case Management,2025-10-19,In Progress,39
CL0056,Office_A,Counseling,2025-03-12,Completed,31
CL0057,Office_A,Case Management,2025-09-23,Completed,91
CL0058,Office_A,Job Training,2025-11-04,Completed,48
CL0059,Office_A,Counseling,2025-02-24,In Progress,155
CL0060,Office_A,Job Training,2025-12-11,Completed,66
CL0061,Office_B,Housing Support,2025-01-03,Completed,176
CL0062,Office_B,Job Training,2025-06-25,Completed,47
CL0063,Office_B,Case Management,2025-12-14,Completed,157
CL0064,Office_B,Case Management,2025-12-05,Not Completed,153
CL0065,Office_B,Case Management,2025-03-14,Not Completed,46
CL0066,Office_B,Counseling,2025-01-12,Not Completed,67
CL0067,Office_B,Counseling,2025-09-28,Completed,118
CL0068,Office_B,Housing Support,2025-03-26,Completed,59
CL0069,Office_B,Counseling,2025-12-11,In Progress,119
CL0070,Office_B,Housing Support,2025-02-13,Not Completed,23
CL0071,Office_B,Counseling,2025-08-12,Not Completed,92
CL0072,Office_B,Case Management,2025-07-11,Not Completed,85
CL0073,Office_B,Job Training,2025-11-17,Completed,116
CL0074,Office_B,Job Training,2025-05-06,Completed,162
CL0075,Office_B,Job Training,2025-10-14,In Progress,102
CL0076,Office_B,Counseling,2025-02-13,Not Completed,161
CL0077,Office_B,Counseling,2025-01-17,Not Completed,151
CL0078,Office_B,Job Training,2025-11-11,Completed,173
CL0079,Office_B,Housing Support,2025-05-17,Completed,93
CL0080,Office_B,Housing Support,2025-09-05,Not Completed,63
CL0081,Office_B,Job Training,2025-12-06,Completed,171
CL0082,Office_B,Housing Support,2025-05-10,Not Completed,67
CL0083,Office_B,Housing Support,2025-06-15,Not Completed,127
CL0084,Office_B,Job Training,2025-12-06,Completed,35
CL0085,Office_B,Job Training,2025-06-03,Not Completed,74
CL0086,Office_B,Housing Support,2025-01-02,Completed,76
CL0087,Office_B,Counseling,2025-08-14,Not Completed,175
CL0088,Office_B,Case Management,2025-07-08,Completed,51
CL0089,Office_B,Counseling,2025-02-25,Not Completed,122
CL0090,Office_B,Counseling,2025-09-15,Not Completed,26
CL0091,Office_B,Job Training,2025-03-26,Completed,132
CL0092,Office_B,Housing Support,2025-10-27,Not Completed,143
CL0093,Office_B,Housing Support,2025-03-24,Completed,135
