case_id,risk_score,risk_category,child_age,num_prior_referrals,substantiated_within_2yr,new_maltreatment_within_2yr
RA-0001,12,High,5,1,0,0
RA-0002,9,Moderate,5,0,0,0
RA-0003,13,High,15,0,0,0
RA-0004,16,Very High,3,3,0,0
RA-0005,9,Moderate,10,2,0,0
RA-0006,9,Moderate,8,1,0,0
RA-0007,16,Very High,2,1,0,1
RA-0008,13,High,7,2,0,0
RA-0009,8,Moderate,4,2,0,1
RA-0010,12,High,3,1,0,0
RA-0011,8,Moderate,5,2,0,0
RA-0012,8,Moderate,1,2,0,0
RA-0013,11,High,10,0,0,0
RA-0014,2,Low,3,1,0,0
RA-0015,3,Low,14,1,0,0
RA-0016,8,Moderate,5,6,0,0
RA-0017,6,Moderate,16,1,0,0
RA-0018,11,High,5,0,1,0
RA-0019,6,Moderate,1,2,0,0
RA-0020,4,Low,14,3,1,0
RA-0021,16,Very High,10,6,1,0
RA-0022,9,Moderate,7,1,1,0
RA-0023,10,Moderate,12,0,0,1
RA-0024,4,Low,11,3,0,0
RA-0025,8,Moderate,4,5,0,0
RA-0026,10,Moderate,5,2,0,0
RA-0027,5,Low,3,2,1,0
RA-0028,12,High,0,2,1,0
RA-0029,8,Moderate,16,2,0,0
RA-0030,9,Moderate,11,3,0,0
RA-0031,8,Moderate,14,2,1,0
RA-0032,17,Very High,0,2,1,1
RA-0033,10,Moderate,13,2,0,0
RA-0034,6,Moderate,5,4,0,0
RA-0035,13,High,4,2,0,0
RA-0036,5,Low,10,1,1,0
RA-0037,11,High,3,1,1,0
RA-0038,2,Low,12,0,0,0
RA-0039,5,Low,10,1,0,0
RA-0040,11,High,2,1,0,0
RA-0041,13,High,0,2,0,0
RA-0042,11,High,5,3,0,0
RA-0043,10,Moderate,17,2,0,0
RA-0044,9,Moderate,9,0,0,0
RA-0045,4,Low,4,1,0,0
RA-0046,7,Moderate,9,4,0,0
RA-0047,8,Moderate,11,3,0,0
RA-0048,14,High,1,1,1,0
RA-0049,11,High,12,1,1,0
RA-0050,3,Low,7,3,0,0
RA-0051,11,High,1,2,0,1
RA-0052,8,Moderate,0,1,0,1
RA-0053,7,Moderate,4,2,0,0
RA-0054,12,High,8,0,1,0
RA-0055,14,High,16,0,1,0
RA-0056,14,High,8,0,1,1
RA-0057,7,Moderate,10,1,0,0
RA-0058,9,Moderate,14,0,0,0
RA-0059,11,High,5,3,0,0
RA-0060,14,High,2,2,1,0
RA-0061,8,Moderate,16,5,0,0
RA-0062,9,Moderate,4,4,0,0
RA-0063,6,Moderate,11,1,0,0
RA-0064,5,Low,17,3,0,0
RA-0065,13,High,13,1,1,1
RA-0066,15,High,10,1,1,0
RA-0067,10,Moderate,8,0,0,0
RA-0068,14,High,1,3,0,0
RA-0069,11,High,11,2,1,0
RA-0070,7,Moderate,2,2,1,0
RA-0071,11,High,2,3,1,0
RA-0072,16,Very High,0,2,1,0
RA-0073,10,Moderate,7,3,0,0
RA-0074,16,Very High,7,2,0,0
RA-0075,0,Low,10,2,0,0
RA-0076,13,High,8,0,1,1
RA-0077,10,Moderate,4,2,0,0
RA-0078,9,Moderate,13,0,0,0
RA-0079,10,Moderate,2,0,1,1
RA-0080,2,Low,4,0,0,0
RA-0081,9,Moderate,4,0,0,0
RA-0082,11,High,13,2,0,0
RA-0083,16,Very High,3,1,0,0
RA-0084,8,Moderate,12,1,1,0
RA-0085,7,Moderate,9,1,0,0
RA-0086,8,Moderate,17,1,0,0
RA-0087,14,High,7,3,0,0
RA-0088,11,High,7,1,0,0
RA-0089,8,Moderate,6,0,0,0
RA-0090,12,High,7,1,1,0
RA-0091,10,Moderate,13,2,1,0
RA-0092,14,High,5,6,0,0
RA-0093,7,Moderate,0,0,1,1
RA-0094,9,Moderate,14,2,0,1
RA-0095,8,Moderate,0,1,0,0
RA-0096,4,Low,16,0,0,0
RA-0097,11,High,0,1,0,0
RA-0098,11,High,14,4,0,0
RA-0099,10,Moderate,1,2,0,0
RA-0100,9,Moderate,13,1,0,1
RA-0101,4,Low,7,3,0,0
RA-0102,8,Moderate,7,2,0,0
RA-0103,9,Moderate,6,3,0,0
RA-0104,7,Moderate,5,1,0,0
RA-0105,9,Moderate,5,0,1,0
RA-0106,12,High,2,1,1,1
RA-0107,18,Very High,6,3,1,0
RA-0108,11,High,7,1,1,0
RA-0109,11,High,9,1,1,1
RA-0110,10,Moderate,14,2,0,0
RA-0111,2,Low,14,2,1,0
RA-0112,10,Moderate,0,4,0,0
RA-0113,10,Moderate,6,3,0,0
RA-0114,20,Very High,3,1,1,0
RA-0115,9,Moderate,5,0,0,0
RA-0116,11,High,0,0,1,1
RA-0117,10,Moderate,4,1,1,0
RA-0118,5,Low,0,1,0,0
RA-0119,15,High,3,1,0,0
RA-0120,13,High,1,4,0,0
RA-0121,13,High,9,1,0,0
RA-0122,6,Moderate,4,1,0,0
RA-0123,16,Very High,9,2,1,1
RA-0124,4,Low,0,0,0,0
RA-0125,12,High,5,0,0,0
RA-0126,19,Very High,12,1,0,0
RA-0127,6,Moderate,14,0,0,0
RA-0128,8,Moderate,3,1,0,0
RA-0129,10,Moderate,12,1,0,0
RA-0130,8,Moderate,14,1,0,0
RA-0131,4,Low,7,2,0,0
RA-0132,10,Moderate,4,0,0,0
RA-0133,6,Moderate,14,2,0,0
RA-0134,12,High,3,2,0,0
RA-0135,6,Moderate,11,3,0,0
RA-0136,16,Very High,12,0,0,1
RA-0137,7,Moderate,1,4,1,1
RA-0138,9,Moderate,3,2,0,0
RA-0139,13,High,3,3,0,0
RA-0140,5,Low,10,0,0,0
RA-0141,11,High,4,0,1,1
RA-0142,15,High,10,2,0,0
RA-0143,4,Low,9,3,0,0
RA-0144,11,High,7,2,1,1
RA-0145,11,High,5,0,0,0
RA-0146,13,High,5,2,1,0
RA-0147,5,Low,7,5,0,1
RA-0148,5,Low,14,1,0,0
RA-0149,12,High,13,2,0,0
RA-0150,11,High,10,3,0,0
RA-0151,11,High,11,1,0,0
RA-0152,11,High,12,0,0,0
RA-0153,7,Moderate,7,0,0,0
RA-0154,11,High,17,0,1,1
RA-0155,11,High,0,2,0,0
RA-0156,7,Moderate,14,2,0,0
RA-0157,17,Very High,7,1,0,0
RA-0158,12,High,10,1,0,0
RA-0159,5,Low,11,2,1,1
RA-0160,13,High,11,1,0,0
RA-0161,6,Moderate,3,0,1,0
RA-0162,13,High,15,1,0,0
RA-0163,15,High,3,3,1,0
RA-0164,7,Moderate,4,2,0,0
RA-0165,14,High,4,6,1,1
RA-0166,12,High,7,1,1,1
RA-0167,13,High,9,0,1,0
RA-0168,18,Very High,16,1,0,0
RA-0169,9,Moderate,8,1,0,0
RA-0170,7,Moderate,13,3,1,0
RA-0171,6,Moderate,7,2,1,1
RA-0172,7,Moderate,8,2,0,0
RA-0173,10,Moderate,10,1,1,0
RA-0174,11,High,0,2,0,0
RA-0175,11,High,13,2,0,0
RA-0176,13,High,4,3,1,1
RA-0177,10,Moderate,13,3,1,1
RA-0178,16,Very High,3,3,0,0
RA-0179,9,Moderate,0,3,0,0
RA-0180,20,Very High,7,0,1,1
RA-0181,13,High,14,0,0,0
RA-0182,7,Moderate,14,2,0,0
RA-0183,6,Moderate,8,2,0,0
RA-0184,12,High,8,1,0,0
RA-0185,9,Moderate,9,3,0,0
RA-0186,13,High,8,0,1,0
RA-0187,12,High,2,0,0,0
RA-0188,10,Moderate,10,1,0,0
RA-0189,7,Moderate,5,2,0,0
RA-0190,4,Low,1,1,0,0
RA-0191,8,Moderate,6,1,1,0
RA-0192,13,High,17,1,0,0
RA-0193,11,High,1,3,1,1
RA-0194,5,Low,16,3,0,0
RA-0195,11,High,10,2,1,0
RA-0196,12,High,11,2,1,0
RA-0197,6,Moderate,6,3,1,1
RA-0198,11,High,5,1,0,0
RA-0199,10,Moderate,0,2,0,0
RA-0200,5,Low,16,2,0,0
