tract_id,poverty_rate,unemployment_rate,median_income,education_bachelor_pct,food_insecurity_rate,uninsured_rate,housing_burden_pct,life_expectancy
TRACT-5001,16.6,6.9,56286.0,35.5,13.5,3.0,34.1,76.8
TRACT-5002,15.8,7.7,61729.0,42.7,17.0,12.3,26.4,75.3
TRACT-5003,20.5,13.5,49596.0,24.9,19.6,6.0,31.9,77.8
TRACT-5004,26.7,10.2,44874.0,26.1,24.0,10.2,41.9,70.8
TRACT-5005,0.0,0.0,89823.0,51.5,3.2,0.0,22.3,81.4
TRACT-5006,17.1,6.6,58384.0,37.6,17.7,14.1,37.1,78.7
TRACT-5007,11.7,3.2,60742.0,35.2,10.0,21.8,22.2,75.5
TRACT-5008,25.7,15.8,46369.0,33.1,27.1,16.4,28.1,74.0
TRACT-5009,27.5,6.2,40449.0,23.8,18.6,19.2,41.9,80.4
TRACT-5010,24.2,8.0,37456.0,11.7,23.9,12.5,34.5,76.7
TRACT-5011,10.8,4.4,43896.0,11.7,8.8,11.0,35.6,77.5
TRACT-5012,20.6,9.5,64449.0,41.4,17.3,7.6,41.0,78.2
TRACT-5013,30.3,12.2,59111.0,26.8,29.5,19.0,35.0,71.8
TRACT-5014,16.5,12.6,66633.0,40.6,1.5,13.0,36.3,76.5
TRACT-5015,11.7,5.8,88714.0,32.8,7.9,16.1,22.7,78.8
TRACT-5016,19.0,3.9,57699.0,16.9,19.8,13.0,47.6,77.3
TRACT-5017,31.7,8.1,30965.0,20.4,32.1,9.9,47.9,74.7
TRACT-5018,33.3,15.9,27816.0,11.1,17.8,18.5,40.3,77.9
TRACT-5019,11.9,7.0,44739.0,19.1,13.8,14.7,39.4,77.4
TRACT-5020,6.8,5.7,80894.0,44.5,4.4,12.8,26.0,82.4
TRACT-5021,30.7,14.6,35591.0,41.3,23.9,16.0,43.7,77.9
TRACT-5022,19.2,10.3,67985.0,29.1,6.0,12.3,33.6,75.7
TRACT-5023,26.7,13.2,25844.0,20.3,20.0,7.7,42.3,73.8
TRACT-5024,10.5,7.3,73887.0,30.8,12.5,14.9,21.4,80.4
TRACT-5025,18.0,16.1,27684.0,23.0,15.2,12.2,49.2,75.7
TRACT-5026,40.4,14.3,20711.0,8.1,24.5,20.9,43.4,71.2
TRACT-5027,0.0,7.8,87386.0,60.0,0.0,4.2,45.1,80.7
TRACT-5028,3.0,0.8,88200.0,49.5,12.3,5.3,10.6,80.7
TRACT-5029,30.4,14.0,20000,6.1,31.2,30.9,45.7,72.8
TRACT-5030,5.6,0.6,78483.0,43.1,10.3,4.5,15.3,78.7
TRACT-5031,6.4,6.2,44181.0,19.4,12.1,16.7,26.2,81.3
TRACT-5032,14.0,3.9,54077.0,42.5,18.0,13.8,56.0,77.6
TRACT-5033,24.2,11.3,40787.0,44.9,26.8,8.5,35.9,76.7
TRACT-5034,25.8,5.9,20000,5.0,20.4,14.8,37.7,70.8
TRACT-5035,5.8,0.0,83366.0,43.7,12.1,11.5,21.8,84.4
TRACT-5036,16.6,5.2,51373.0,20.2,3.0,10.0,31.9,75.9
TRACT-5037,10.9,6.8,89669.0,44.2,7.1,5.0,26.3,76.9
TRACT-5038,16.7,7.8,81373.0,49.6,18.5,8.2,36.5,75.8
TRACT-5039,21.1,10.6,38921.0,40.8,20.4,3.6,40.9,74.9
TRACT-5040,18.0,9.7,59534.0,9.8,8.9,15.2,39.6,81.9
TRACT-5041,36.0,7.0,35910.0,5.0,33.3,22.0,31.6,77.5
TRACT-5042,24.4,3.5,49853.0,18.1,18.7,11.7,44.3,71.3
TRACT-5043,21.2,15.6,36310.0,22.1,19.0,10.4,40.6,75.9
TRACT-5044,8.6,11.0,79843.0,37.9,6.0,3.4,35.5,79.9
TRACT-5045,22.6,8.9,55242.0,27.1,21.3,13.5,40.7,77.9
TRACT-5046,16.8,4.5,45756.0,16.0,9.5,15.2,29.9,80.7
TRACT-5047,40.8,16.1,20000,5.0,29.3,13.7,45.1,70.2
TRACT-5048,13.4,3.6,54061.0,45.0,11.6,5.2,28.0,80.7
TRACT-5049,11.2,7.3,76023.0,45.0,17.9,7.5,36.9,77.5
TRACT-5050,14.0,10.9,71313.0,35.7,6.2,12.4,25.0,76.2
TRACT-5051,11.5,6.6,38228.0,23.7,13.4,6.7,37.0,79.1
TRACT-5052,11.9,3.5,75632.0,21.9,9.0,5.4,26.1,79.6
TRACT-5053,18.4,12.2,55951.0,25.6,9.0,15.2,36.4,80.8
TRACT-5054,10.5,5.5,67351.0,32.5,10.6,0.0,33.1,80.9
TRACT-5055,29.3,20.0,28140.0,16.3,22.7,28.2,28.1,74.8
TRACT-5056,3.3,0.0,57509.0,14.0,12.4,1.9,18.6,76.5
TRACT-5057,24.1,6.2,62922.0,21.7,13.5,13.9,33.7,79.8
TRACT-5058,19.2,4.1,47005.0,18.3,19.6,15.2,30.9,78.5
TRACT-5059,12.7,5.7,66845.0,48.5,11.1,7.6,22.2,80.8
TRACT-5060,12.1,7.2,39927.0,31.3,5.8,4.3,38.1,73.9
TRACT-5061,17.2,8.0,43184.0,36.0,23.0,2.5,22.6,79.2
