client_id,service_model,age,gender,sessions,satisfaction_score
SS-4001,In-Person,68,Female,5,4.5
SS-4002,In-Person,65,Female,8,4.12
SS-4003,In-Person,24,Male,11,4.59
SS-4004,In-Person,58,Female,13,5.0
SS-4005,In-Person,28,Male,12,4.06
SS-4006,In-Person,42,Female,15,4.06
SS-4007,In-Person,30,Female,15,5.0
SS-4008,In-Person,60,Female,15,4.66
SS-4009,In-Person,39,Female,12,3.92
SS-4010,In-Person,25,Non-binary,4,4.53
SS-4011,In-Person,46,Male,12,3.92
SS-4012,In-Person,35,Male,10,3.92
SS-4013,In-Person,30,Male,12,4.35
SS-4014,In-Person,47,Male,11,3.05
SS-4015,In-Person,23,Male,4,3.17
SS-4016,In-Person,41,Female,15,3.86
SS-4017,In-Person,49,Female,11,3.59
SS-4018,In-Person,68,Female,11,4.39
SS-4019,In-Person,28,Female,14,3.66
SS-4020,In-Person,65,Female,6,3.35
SS-4021,Telehealth,30,Female,11,4.12
SS-4022,Telehealth,36,Female,14,4.05
SS-4023,Telehealth,36,Female,12,2.81
SS-4024,Telehealth,47,Male,8,3.18
SS-4025,Telehealth,63,Male,4,3.63
SS-4026,Telehealth,34,Male,6,4.08
SS-4027,Telehealth,53,Male,13,3.06
SS-4028,Telehealth,60,Male,15,3.27
SS-4029,Telehealth,53,Female,11,2.63
SS-4030,Telehealth,25,Male,14,2.56
SS-4031,Telehealth,51,Female,9,3.97
SS-4032,Telehealth,58,Male,11,4.35
SS-4033,Telehealth,44,Male,12,3.35
SS-4034,Telehealth,60,Female,7,4.1
SS-4035,Telehealth,66,Female,4,3.65
SS-4036,Telehealth,36,Female,4,2.95
SS-4037,Telehealth,64,Female,13,3.65
SS-4038,Telehealth,50,Male,7,4.48
SS-4039,Telehealth,57,Male,15,3.37
SS-4040,Telehealth,34,Female,10,4.5
SS-4041,Hybrid,57,Male,9,2.94
SS-4042,Hybrid,40,Female,11,3.89
SS-4043,Hybrid,47,Male,7,3.93
SS-4044,Hybrid,24,Male,6,5.0
SS-4045,Hybrid,40,Male,12,3.8
SS-4046,Hybrid,41,Female,6,4.05
SS-4047,Hybrid,53,Female,12,3.88
SS-4048,Hybrid,28,Female,5,3.32
SS-4049,Hybrid,62,Male,5,4.47
SS-4050,Hybrid,54,Male,5,4.28
SS-4051,Hybrid,61,Male,9,4.3
SS-4052,Hybrid,60,Female,6,3.45
SS-4053,Hybrid,39,Female,12,4.6
SS-4054,Hybrid,61,Male,7,3.2
SS-4055,Hybrid,22,Male,4,4.19
SS-4056,Hybrid,32,Male,7,5.0
SS-4057,Hybrid,49,Male,4,3.4
SS-4058,Hybrid,46,Male,8,3.62
SS-4059,Hybrid,44,Female,7,3.95
SS-4060,Hybrid,52,Female,11,3.65
SS-4061,Group,49,Male,12,3.97
SS-4062,Group,51,Male,7,3.53
SS-4063,Group,50,Male,7,3.86
SS-4064,Group,67,Male,4,4.72
SS-4065,Group,27,Female,11,3.0
SS-4066,Group,56,Male,15,2.6
SS-4067,Group,62,Non-binary,6,2.49
SS-4068,Group,58,Female,10,2.55
SS-4069,Group,45,Female,15,3.14
SS-4070,Group,50,Male,5,3.47
SS-4071,Group,67,Male,5,3.42
SS-4072,Group,52,Male,10,3.86
SS-4073,Group,56,Male,9,3.21
SS-4074,Group,54,Female,6,4.36
SS-4075,Group,42,Female,12,2.99
SS-4076,Group,53,Male,13,5.0
SS-4077,Group,44,Male,9,3.7
SS-4078,Group,54,Male,13,2.51
SS-4079,Group,24,Male,13,2.34
SS-4080,Group,39,Female,9,3.59
