student_id,grade,family_income_rank,behavioral_incidents,attendance_rate,gpa
STU-001,9,17,10,82.0,2.32
STU-002,7,31,14,73.1,2.19
STU-003,12,29,6,90.9,2.04
STU-004,7,9,14,61.8,1.99
STU-005,10,46,7,90.0,2.94
STU-006,7,30,4,97.5,2.79
STU-007,10,6,3,64.1,1.89
STU-008,11,56,1,84.1,3.34
STU-009,12,53,4,88.5,2.93
STU-010,12,28,1,75.3,1.83
STU-011,6,3,13,58.6,1.42
STU-012,9,10,4,73.9,2.18
STU-013,10,43,5,75.8,3.02
STU-014,6,55,3,92.1,2.84
STU-015,7,38,4,75.3,2.84
STU-016,7,58,10,100.0,3.59
STU-017,6,16,4,69.1,1.68
STU-018,12,4,8,68.8,1.69
STU-019,7,7,3,78.8,1.76
STU-020,11,57,2,79.2,2.94
STU-021,11,15,11,76.8,2.14
STU-022,6,26,6,89.1,2.59
STU-023,10,50,1,73.8,3.6
STU-024,10,51,8,88.5,3.62
STU-025,6,5,4,73.7,1.12
STU-026,10,18,8,82.3,1.72
STU-027,12,49,6,76.4,3.34
STU-028,12,19,14,65.8,2.34
STU-029,10,45,3,89.2,3.21
STU-030,11,32,12,83.0,4.0
STU-031,10,34,5,83.3,2.86
STU-032,12,36,1,84.8,3.15
STU-033,8,27,14,73.6,2.78
STU-034,9,44,10,86.5,3.23
STU-035,7,11,7,76.0,1.74
STU-036,8,42,13,78.3,3.2
STU-037,10,48,12,100.0,2.79
STU-038,11,60,0,93.8,3.41
STU-039,6,22,7,67.8,2.04
STU-040,10,8,3,77.9,1.8
STU-041,11,37,7,74.5,3.66
STU-042,9,2,13,77.0,0.82
STU-043,10,41,3,92.9,3.14
STU-044,12,12,12,67.4,1.25
STU-045,6,47,6,93.4,2.88
STU-046,11,39,11,86.3,3.24
STU-047,11,40,3,89.9,2.86
STU-048,11,20,2,91.8,1.74
STU-049,9,23,10,75.7,1.98
STU-050,10,24,7,72.0,2.57
STU-051,9,52,1,80.2,2.94
STU-052,7,25,4,71.8,2.42
STU-053,7,35,8,81.0,2.68
STU-054,10,1,14,73.1,1.27
STU-055,12,21,9,79.2,3.06
STU-056,9,59,1,96.3,3.72
STU-057,6,54,14,88.1,2.49
STU-058,11,33,7,92.6,2.67
STU-059,11,14,4,72.5,1.7
STU-060,10,13,14,96.1,2.27
