student_id,grade,gender,sel_total_score,self_awareness,self_management,social_awareness,relationship_skills
S0001,7,Male,43,23,6,3,11
S0002,10,Male,55,6,24,20,5
S0003,10,Female,27,3,5,9,10
S0004,11,Female,77,20,9,25,23
S0005,12,Female,59,10,17,21,11
S0006,8,Male,62,8,25,16,13
S0007,6,Male,39,13,6,5,15
S0008,11,Male,51,14,22,11,4
S0009,8,Female,46,6,15,5,20
S0010,11,Male,66,22,14,21,9
S0011,12,Male,51,24,10,12,5
S0012,11,Female,49,6,15,11,17
S0013,11,Male,45,8,14,14,9
S0014,11,Male,74,24,23,5,22
S0015,8,Non-binary,50,10,8,17,15
S0016,11,Male,78,23,25,20,10
S0017,9,Male,31,4,10,4,13
S0018,7,Female,68,9,21,25,13
S0019,8,Male,62,15,23,17,7
S0020,9,Female,72,20,20,11,21
S0021,10,Female,46,15,14,10,7
S0022,7,Female,40,4,6,7,23
S0023,9,Female,58,16,22,5,15
S0024,12,Female,67,17,19,11,20
S0025,12,Male,74,24,6,24,20
S0026,9,Male,54,23,13,6,12
S0027,10,Female,41,3,11,19,8
S0028,10,Male,77,23,12,23,19
S0029,6,Female,61,14,8,20,19
S0030,12,Female,41,18,3,6,14
S0031,6,Male,45,10,4,10,21
S0032,7,Female,50,18,5,20,7
S0033,12,Female,58,20,8,11,19
S0034,11,Male,63,9,20,25,9
S0035,10,Male,78,24,23,14,17
S0036,6,Female,38,10,10,5,13
S0037,6,Female,44,10,21,10,3
S0038,12,Male,23,4,10,5,4
S0039,9,Male,64,19,10,11,24
S0040,7,Female,67,7,21,21,18
S0041,11,Male,37,16,9,6,6
S0042,11,Female,53,16,16,17,4
S0043,11,Male,48,23,6,4,15
S0044,10,Male,34,6,10,9,9
S0045,7,Female,52,16,8,11,17
S0046,6,Female,48,5,17,20,6
S0047,7,Male,38,20,3,5,10
S0048,7,Male,46,18,9,15,4
S0049,9,Female,55,15,11,17,12
S0050,7,Male,87,20,24,25,18
S0051,6,Female,54,9,4,21,20
S0052,10,Female,47,4,4,21,18
S0053,6,Female,50,19,8,4,19
S0054,12,Male,56,5,22,5,24
S0055,10,Male,58,6,21,10,21
S0056,10,Female,66,5,16,24,21
S0057,8,Male,69,11,9,24,25
S0058,8,Male,69,15,7,24,23
S0059,10,Non-binary,47,5,3,17,22
S0060,8,Male,53,5,20,9,19
S0061,8,Male,43,14,5,10,14
S0062,12,Female,79,20,25,12,22
S0063,11,Male,59,3,24,20,12
S0064,11,Female,30,7,11,6,6
S0065,11,Male,54,11,12,22,9
S0066,9,Male,77,24,23,11,19
S0067,12,Male,48,4,5,23,16
S0068,8,Male,46,3,13,7,23
S0069,10,Male,78,17,20,25,16
S0070,6,Female,57,5,25,7,20
S0071,7,Male,64,21,20,7,16
S0072,11,Male,41,14,4,14,9
S0073,10,Female,56,6,14,20,16
S0074,6,Male,42,10,8,8,16
S0075,8,Male,63,13,16,24,10
S0076,12,Male,50,25,6,15,4
S0077,12,Female,52,9,17,14,12
S0078,7,Male,47,10,10,3,24
S0079,11,Female,41,11,5,11,14
S0080,6,Female,60,24,20,13,3
S0081,6,Male,51,11,8,21,11
S0082,10,Non-binary,59,16,14,13,16
S0083,8,Male,51,6,15,21,9
S0084,11,Female,58,16,3,19,20
S0085,6,Female,63,24,9,14,16
S0086,12,Male,72,13,22,13,24
S0087,9,Male,67,12,19,12,24
S0088,7,Male,64,25,12,20,7
S0089,10,Male,69,15,24,8,22
S0090,7,Male,47,20,3,12,12
S0091,9,Male,79,21,22,23,13
S0092,12,Female,70,24,9,19,18
S0093,10,Female,49,8,24,5,12
S0094,11,Male,50,22,13,5,10
S0095,7,Non-binary,23,9,7,3,4
S0096,11,Female,60,22,5,17,16
S0097,9,Male,83,25,25,15,18
S0098,12,Male,57,23,25,3,6
S0099,6,Female,69,8,25,19,17
S0100,11,Female,47,6,17,7,17
