study_id,authors,year,intervention_type,n_treatment,mean_treatment,sd_treatment,n_control,mean_control,sd_control,outcome_measure
1,Martinez & Chen,2015,Parent-Child Interaction Therapy,58,89.65,13.94,71,78.03,13.94,DPICS Positive Parenting Score
2,Johnson et al.,2016,Triple P Parenting,30,86.96,15.89,30,74.65,12.09,ECBI Intensity Score
3,Williams & Park,2017,SafeCare Home Visiting,63,51.46,9.92,49,48.49,9.04,HOME Inventory Score
4,Thompson et al.,2018,Nurturing Parenting Program,63,55.23,13.58,44,51.65,13.29,AAPI-2 Score
5,Davis & Rivera,2019,Incredible Years,66,66.24,18.55,70,55.3,19.27,CBCL Externalizing Score
6,Anderson et al.,2019,Parent-Child Interaction Therapy,28,53.07,15.49,58,40.53,16.96,DPICS Negative Parenting Score
7,Brown & Kim,2020,Multisystemic Therapy,21,61.08,13.53,39,49.64,16.17,CAFAS Total Score
8,Garcia et al.,2021,Functional Family Therapy,36,56.12,15.82,55,47.29,14.39,Family Assessment Form
9,Lee & Hoffman,2021,Triple P Parenting,48,89.87,19.08,37,71.01,17.79,Parenting Scale Score
10,Nguyen et al.,2022,SafeCare Home Visiting,27,51.71,7.54,33,47.84,8.01,Child Abuse Potential Inventory
11,Robinson & White,2023,Nurturing Parenting Program,72,61.8,12.02,43,54.27,9.37,PSI-SF Total Score
12,Patel et al.,2024,Incredible Years,20,84.48,16.98,44,79.48,13.74,SDQ Total Difficulties Score
