V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,How did you hear about this course?,Which social work exam will you be taking?,"Do you have an exam date set? If so, please indicate when","Have you already taken a social work license exam but did not pass? If so, please indicate which exa...",May the University of Michigan's School of Social Work follow-up with you at a later date to inquire...,Do you have any other information that you would like the course instructors to know before the cour...,I lose sleep over worrying about examinations.,"While taking an important examination, I find myself wondering whether the other students are doing...",I have less difficulty than the average college student in getting test instructions straight.,I tend to freeze up on things like intelligence tests and final exams.,I am less nervous about tests than the average college student.,"During tests, I find myself thinking of the consequences of failing.","At the beginning of a test, I am so nervous that I often can't think straight.",The prospect of taking a test is one of my courses would not cause me to worry.,I am more calm in test situations than the average college student.,I have less difficulty than the average college student in learning assigned chapters in textbooks.,My mind goes blank when I am pressured for an answer on a test.,"During tests, the though frequently occurs to me that I may not be too bright.",I will do well in speed tests in which there are time limits.,"During a course examination, I get so nervous that I forget facts I really know.","After taking a test, I feel I could have done better than I actually did.",I worry more about doing well on tests than I should.,"Before taking a test, I feel confident and relaxed.","While taking a test, I feel confident and relaxed.","During tests, I have the feeling that I am not doing well.","When I take a test that is difficult, I feel defeated before I even start.",Finding unexpected questions on a test causes me to feel challenged rather than panicky.
R_6sYnORVjCNJEMoB,Default Response Set,Anonymous,,,97.78.214.66,0,10/8/13 13:27,10/8/13 13:30,1,Online SSW Website,1,No,No,"Yes, email.",No,1,2,3,2,3,2,1,2,3,3,1,1,2,1,2,1,3,4,1,1,3
R_4JjwJaFGllJgsQJ,Default Response Set,Anonymous,,,69.244.183.4,0,10/27/13 6:52,10/27/13 6:57,1,email,1,no,no,no,no,2,1,3,,2,2,2,3,2,3,2,1,2,2,2,2,3,3,2,2,3
R_d0AbeRewgWLyZLL,Default Response Set,Anonymous,,,97.85.45.83,0,11/10/13 18:57,11/10/13 19:03,1,University website,1,No,No,Yes through email,No,3,2,3,2,3,2,2,3,3,3,2,2,2,2,3,3,2,3,2,2,2
R_e2oBSTqBS3UKV6t,Default Response Set,Anonymous,,,76.226.19.80,0,11/10/13 19:03,11/10/13 19:06,1,U of M SSW Website,3,Jan-14,N/A,"Yes, either by phone or email.",No,4,4,2,4,1,4,4,2,1,3,4,3,2,4,4,4,1,1,4,3,2
R_7QIVejpZxJj7aAJ,Default Response Set,Anonymous,,,68.60.124.17,0,11/10/13 20:36,11/10/13 20:43,1,U of M SSW career center,1,no,no,email,no,2,3,3,4,2,3,2,2,2,3,3,3,3,3,3,2,2,3,2,3,3
R_4ZNjjTQjcXkpFRj,Default Response Set,Anonymous,,,66.87.114.201,0,11/10/13 22:17,11/10/13 22:23,1,As a university of Michigan student and now staff. ,3,Not yet,No,"Yes, phone or email ",Not at this time ,2,1,2,2,3,1,2,3,3,2,3,1,2,2,3,2,2,3,1,1,3
R_baBMnD933Qj3CMl,Default Response Set,Anonymous,,,75.114.178.25,0,11/10/13 23:32,11/10/13 23:39,1,email,3,No,No,By phne 313-598-8034,Not at this time,2,2,1,2,2,2,1,2,2,3,,1,3,1,3,2,3,3,2,1,3
R_8ueVUO5bqRJHjBb,Default Response Set,Anonymous,,,98.224.179.48,0,11/11/13 8:56,11/11/13 9:14,1,I went on the university's website,3,"No, I am hoping to take it by the beginning of February",No,Yes; cell phone: 586-201-2673,"I worked for one full year at my place of employment without a limited license (post-Master's), and medical disruptions began, resulting in both short and long-term disability leaves thereafter. I have a ""totally disabled"" status with the social security administration. Because of this, my now former employer had to terminate or ""medically sever"" me from my position as a school social worker wither their district in June 2013. This was my first/only place of employment since graduating from the University of Michigan in April 2007. My former school district hired me in June 2007. I will need an undetermined amount of assistance navigating the licensure process. I am well enough to study at this juncture, but not to return to work.",4,3,3,3,3,4,3,2,2,2,3,2,2,2,4,4,2,2,3,3,1
R_9NbXhBv3TaFFaE5,Default Response Set,Anonymous,,,173.81.107.163,0,11/11/13 11:35,11/11/13 11:40,1,Internship supervisor,1,No,No,email,N/A,2,3,3,2,2,3,2,2,2,3,2,1,2,2,3,3,2,2,2,1,3
