intake_id,src_intake_id,screeningdecision,county_name,complaint_date,investigation_caseid,srcongoingcase,allegationtypedesc,intakechildpartyid,intakeperppartyid,findingdesc,abuseneglect,relationtypeperptovictim,child_role
300001,1300001,Screen Out,Oakland,01/26/2022,,496531,Physical Abuse,100036,200095,,A,Other Caregiver,Victim
300001,1300001,Screen Out,Oakland,01/26/2022,,496531,Emotional Abuse,100036,200095,,A,Parent,Victim
300002,1300002,Investigate,Wayne,08/12/2022,585182,493851,Physical Abuse,100144,200076,No Evidence,A,Step-Parent,Victim
300002,1300002,Investigate,Wayne,08/12/2022,585182,493851,Sexual Abuse,100051,200028,No Evidence,A,Parent,Victim
300002,1300002,Investigate,Wayne,08/12/2022,585182,493851,Physical Abuse,100051,200028,No Evidence,A,Other Caregiver,Victim
300003,1300003,Investigate,Wayne,12/19/2022,516362,470285,Emotional Abuse,100187,200038,No Evidence,A,Mother's Paramour,Victim
300003,1300003,Investigate,Wayne,12/19/2022,516362,470285,Sexual Abuse,100187,200038,No Evidence,A,Step-Parent,Victim
300003,1300003,Investigate,Wayne,12/19/2022,516362,470285,Physical Abuse,100118,200099,No Preponderance,A,Step-Parent,Victim
300004,1300004,Investigate,Genesee,01/25/2023,546567,448521,Physical Abuse,100094,200120,Preponderance,A,Mother's Paramour,Victim
300004,1300004,Investigate,Genesee,01/25/2023,546567,448521,Medical Neglect,100042,200049,No Preponderance,N,Father's Paramour,Victim
300005,1300005,Screen Out,Oakland,11/29/2022,,441348,Emotional Abuse,100059,200009,,A,Father's Paramour,Victim
300005,1300005,Screen Out,Oakland,11/29/2022,,441348,Medical Neglect,100009,200084,,N,Other Caregiver,Victim
300006,1300006,Investigate,Wayne,05/23/2022,576623,497913,Physical Abuse,100068,200018,No Evidence,A,Parent,Victim
300007,1300007,Investigate,Genesee,06/06/2022,550433,408327,Physical Abuse,100109,200068,Preponderance,A,Father's Paramour,Victim
300007,1300007,Investigate,Genesee,06/06/2022,550433,408327,Medical Neglect,100109,200068,Preponderance,A,Mother's Paramour,Victim
300007,1300007,Investigate,Genesee,06/06/2022,550433,408327,Medical Neglect,100109,200033,Preponderance,N,Parent,Victim
300007,1300007,Investigate,Genesee,06/06/2022,550433,408327,Sexual Abuse,100109,200033,Preponderance,N,Relative,Victim
300007,1300007,Investigate,Genesee,06/06/2022,550433,408327,Emotional Abuse,100153,200108,Preponderance,A,Step-Parent,Victim
300008,1300008,Screen Out,Wayne,01/07/2023,,407593,Physical Abuse,100079,200073,,A,Parent,Victim
300008,1300008,Screen Out,Wayne,01/07/2023,,407593,Neglect - Failure to Provide,100079,200073,,A,Mother's Paramour,Victim
300008,1300008,Screen Out,Wayne,01/07/2023,,407593,Emotional Abuse,100062,200017,,A,Step-Parent,Victim
300008,1300008,Screen Out,Wayne,01/07/2023,,407593,Emotional Abuse,100062,200085,,A,Other Caregiver,Victim
300009,1300009,Screen Out,Ingham,07/07/2023,,452297,Emotional Abuse,100183,200084,,A,Other Caregiver,Victim
300009,1300009,Screen Out,Ingham,07/07/2023,,452297,Neglect - Failure to Protect,100183,200048,,N,Parent,Victim
300009,1300009,Screen Out,Ingham,07/07/2023,,452297,Emotional Abuse,100080,200076,,A,Step-Parent,Victim
300010,1300010,Investigate,Wayne,10/09/2023,509288,443310,Medical Neglect,100009,200028,No Evidence,N,Mother's Paramour,Victim
300011,1300011,Screen Out,Oakland,09/06/2022,,412705,Neglect - Failure to Provide,100049,200046,,N,Father's Paramour,Victim
300011,1300011,Screen Out,Oakland,09/06/2022,,412705,Physical Abuse,100025,200084,,A,Other Caregiver,Victim
300011,1300011,Screen Out,Oakland,09/06/2022,,412705,Medical Neglect,100025,200084,,A,Father's Paramour,Victim
300012,1300012,Investigate,Wayne,04/22/2022,555297,418374,Neglect - Failure to Provide,100115,200112,Preponderance,N,Parent,Victim
300012,1300012,Investigate,Wayne,04/22/2022,555297,418374,Emotional Abuse,100115,200112,Preponderance,N,Parent,Victim
300013,1300013,Transfer,Kent,01/16/2022,,463654,Physical Abuse,100061,200111,,A,Step-Parent,Victim
300013,1300013,Transfer,Kent,01/16/2022,,463654,Neglect - Failure to Provide,100043,200050,,N,Relative,Victim
300013,1300013,Transfer,Kent,01/16/2022,,463654,Emotional Abuse,100105,200094,,A,Step-Parent,Victim
