childpartyid,child_source_party_id,intake_date,rmvl_dt,intake_id,preponderance_flag,time_to_removal
100109,1100109,06/06/2022,07/10/2022,300007,Y,34
100153,1100153,06/06/2022,07/29/2022,300007,Y,53
100053,1100053,08/02/2023,09/15/2023,300016,Y,44
100030,1100030,11/18/2022,01/04/2023,300022,Y,47
100099,1100099,11/18/2022,01/04/2023,300022,Y,47
100018,1100018,07/07/2023,07/13/2023,300030,Y,6
100070,1100070,07/18/2023,09/08/2023,300035,Y,52
100014,1100014,05/06/2023,05/20/2023,300037,Y,14
100151,1100151,06/11/2022,08/08/2022,300051,Y,58
100011,1100011,08/18/2023,10/15/2023,300073,Y,58
100102,1100102,02/12/2022,03/14/2022,300086,Y,30
100069,1100069,05/25/2023,06/19/2023,300087,Y,25
100094,1100094,02/28/2022,03/20/2022,300088,Y,20
100021,1100021,08/01/2023,09/15/2023,300095,Y,45
100129,1100129,05/28/2022,07/11/2022,300101,Y,44
100199,1100199,09/04/2023,10/22/2023,300103,Y,48
100040,1100040,10/02/2022,10/12/2022,300133,Y,10
100007,1100007,07/13/2023,08/29/2023,300138,Y,47
