childpartyid,racedesc,ame,asi,bla,haw,whi,mis
100170,Black,0,0,1,0,0,0
100054,Black,0,0,1,0,0,0
100016,White,0,0,0,0,1,0
100043,Hispanic,0,0,0,0,1,0
100014,Other,0,0,0,0,0,1
100037,White,0,0,0,0,1,0
100061,Black,0,0,1,0,0,0
100124,Black,0,0,1,0,0,0
100062,White,0,0,0,0,1,0
100020,White,0,0,0,0,1,0
100066,Other,0,0,0,0,0,1
100031,Hispanic,0,0,0,0,1,0
100150,White,0,0,0,0,1,0
100003,Other,0,0,0,0,0,1
100119,White,0,0,0,0,1,0
100128,Other,0,0,0,0,0,1
100120,Hispanic,0,0,0,0,1,0
100161,Black,0,0,1,0,0,0
100171,Black,0,0,1,0,0,0
100067,Black,0,0,1,0,0,0
100096,Black,0,0,1,0,0,0
100175,Other,0,0,0,0,0,1
100026,Hispanic,0,0,0,0,1,0
100095,White,0,0,0,0,1,0
100122,Black,0,0,1,0,0,0
100145,Black,0,0,1,0,0,0
100176,White,0,0,0,0,1,0
100075,White,0,0,0,0,1,0
100143,Black,0,0,1,0,0,0
100147,White,0,0,0,0,1,0
100015,White,0,0,0,0,1,0
100053,Other,0,0,0,0,0,1
100163,White,0,0,0,0,1,0
100106,Black,0,0,1,0,0,0
100045,White,0,0,0,0,1,0
100100,Black,0,0,1,0,0,0
100070,White,0,0,0,0,1,0
100081,Black,0,0,1,0,0,0
100156,Black,0,0,1,0,0,0
100001,Black,0,0,1,0,0,0
100117,Other,0,0,0,0,0,1
100017,White,0,0,0,0,1,0
100138,White,0,0,0,0,1,0
100127,Black,0,0,1,0,0,0
100102,White,0,0,0,0,1,0
100065,White,0,0,0,0,1,0
100141,White,0,0,0,0,1,0
100084,Black,0,0,1,0,0,0
100039,Other,0,0,0,0,0,1
100132,White,0,0,0,0,1,0
100044,Black,0,0,1,0,0,0
100074,Black,0,0,1,0,0,0
100123,Black,0,0,1,0,0,0
100077,White,0,0,0,0,1,0
100103,White,0,0,0,0,1,0
100157,Black,0,0,1,0,0,0
100146,White,0,0,0,0,1,0
100004,White,0,0,0,0,1,0
100142,Black,0,0,1,0,0,0
100006,Other,0,0,0,0,0,1
100125,White,0,0,0,0,1,0
100033,Other,0,0,0,0,0,1
100080,Other,0,0,0,0,0,1
100091,White,0,0,0,0,1,0
100113,White,0,0,0,0,1,0
100158,White,0,0,0,0,1,0
100055,White,0,0,0,0,1,0
100177,Black,0,0,1,0,0,0
100134,Hispanic,0,0,0,0,1,0
100129,White,0,0,0,0,1,0
100034,Other,0,0,0,0,0,1
100019,White,0,0,0,0,1,0
100116,Hispanic,0,0,0,0,1,0
100159,White,0,0,0,0,1,0
100064,Black,0,0,1,0,0,0
