childpartyid,placementepisodeid,provbegindt,provenddate,livingarrangedesc,fc_placement_sequence,providerctgydesc
100170,600001,08/03/2021,05/12/2022,Family Foster Care,1,Family Provider
100170,600001,05/12/2022,03/01/2023,Pre-Adoptive Home,2,Pre-Adoptive Provider
100054,600002,08/04/2020,12/25/2020,Family Foster Care,1,Family Provider
100054,600002,12/25/2020,05/21/2021,Family Foster Care,2,Family Provider
100054,600002,05/21/2021,10/16/2021,Relative Foster Care,3,Relative Provider
100016,600003,01/08/2020,02/06/2020,Group Home,1,Group Provider
100016,600003,02/06/2020,03/10/2020,Family Foster Care,2,Family Provider
100043,600004,08/07/2021,,Relative Foster Care,1,Relative Provider
100014,600005,06/03/2022,08/19/2023,Family Foster Care,1,Family Provider
100037,600006,03/08/2021,07/06/2021,Family Foster Care,1,Family Provider
100037,600006,07/06/2021,11/20/2021,Institutional Care,2,Institutional Provider
100037,600006,11/20/2021,,Trial Home Visit,3,Trial Provider
100061,600007,05/19/2022,12/23/2022,Pre-Adoptive Home,1,Pre-Adoptive Provider
100061,600007,12/23/2022,08/02/2023,Institutional Care,2,Institutional Provider
100124,600008,12/14/2021,03/08/2022,Family Foster Care,1,Family Provider
100124,600008,03/08/2022,06/08/2022,Relative Foster Care,2,Relative Provider
100124,600008,06/08/2022,08/23/2022,Pre-Adoptive Home,3,Pre-Adoptive Provider
100062,600009,02/28/2020,05/13/2020,Family Foster Care,1,Family Provider
100062,600009,05/13/2020,07/26/2020,Family Foster Care,2,Family Provider
100062,600009,07/26/2020,09/16/2020,Relative Foster Care,3,Relative Provider
100062,600009,09/16/2020,11/24/2020,Relative Foster Care,4,Relative Provider
100020,600010,09/24/2020,03/07/2021,Institutional Care,1,Institutional Provider
100066,600011,04/14/2021,06/27/2021,Pre-Adoptive Home,1,Pre-Adoptive Provider
100066,600011,06/27/2021,09/23/2021,Family Foster Care,2,Family Provider
100066,600011,09/23/2021,12/18/2021,Relative Foster Care,3,Relative Provider
100031,600012,11/05/2020,03/28/2021,Family Foster Care,1,Family Provider
100031,600012,03/28/2021,08/19/2021,Group Home,2,Group Provider
100031,600012,08/19/2021,01/15/2022,Family Foster Care,3,Family Provider
100031,600012,01/15/2022,06/25/2022,Group Home,4,Group Provider
100150,600013,07/27/2020,08/07/2020,Family Foster Care,1,Family Provider
100150,600013,08/07/2020,08/24/2020,Group Home,2,Group Provider
100150,600013,08/24/2020,09/18/2020,Family Foster Care,3,Family Provider
100150,600013,09/18/2020,10/17/2020,Relative Foster Care,4,Relative Provider
100003,600014,07/28/2021,09/20/2021,Relative Foster Care,1,Relative Provider
100003,600014,09/20/2021,11/14/2021,Family Foster Care,2,Family Provider
