childpartyid,rmvl_dt,dschrg_dt,dischargereasondesc,removal_county_name,plcmnt_episode_id,cust_start_date,cust_end_date
100170,08/03/2021,03/01/2023,Adoption,Kent,600001,08/03/2021,03/01/2023
100054,08/04/2020,10/16/2021,Guardianship,Genesee,600002,08/04/2020,10/16/2021
100016,01/08/2020,03/10/2020,Guardianship,Wayne,600003,01/08/2020,03/10/2020
100043,08/07/2021,,,Kent,600004,08/07/2021,
100014,06/03/2022,08/19/2023,Guardianship,Wayne,600005,06/03/2022,08/19/2023
100037,03/08/2021,,,Genesee,600006,03/08/2021,
100061,05/19/2022,08/02/2023,Reunification,Kent,600007,05/19/2022,08/02/2023
100124,12/14/2021,08/23/2022,Reunification,Ingham,600008,12/14/2021,08/23/2022
100062,02/28/2020,11/24/2020,Emancipation,Wayne,600009,02/28/2020,11/24/2020
100020,09/24/2020,03/07/2021,Guardianship,Genesee,600010,09/24/2020,03/07/2021
100066,04/14/2021,12/18/2021,Guardianship,Kent,600011,04/14/2021,12/18/2021
100031,11/05/2020,06/25/2022,Guardianship,Wayne,600012,11/05/2020,06/25/2022
100150,07/27/2020,10/17/2020,Reunification,Genesee,600013,07/27/2020,10/17/2020
100003,07/28/2021,01/26/2022,Reunification,Oakland,600014,07/28/2021,01/26/2022
100119,05/31/2022,10/13/2022,Guardianship,Ingham,600015,05/31/2022,10/13/2022
100128,02/26/2021,,,Genesee,600016,02/26/2021,
100120,04/16/2021,06/09/2021,Adoption,Genesee,600017,04/16/2021,06/09/2021
100161,02/13/2021,,,Wayne,600018,02/13/2021,
100171,02/15/2020,,,Kent,600019,02/15/2020,
100067,11/03/2020,10/01/2021,Adoption,Kent,600020,11/03/2020,10/01/2021
100096,01/01/2020,12/25/2020,Emancipation,Genesee,600021,01/01/2020,12/25/2020
100175,09/26/2021,09/08/2022,Adoption,Kent,600022,09/26/2021,09/08/2022
100026,09/17/2021,11/14/2022,Emancipation,Genesee,600023,09/17/2021,11/14/2022
100095,02/07/2022,,,Ingham,600024,02/07/2022,
100122,04/12/2021,,,Ingham,600025,04/12/2021,
100145,07/15/2021,05/06/2022,Adoption,Oakland,600026,07/15/2021,05/06/2022
100176,11/23/2020,05/28/2021,Adoption,Wayne,600027,11/23/2020,05/28/2021
100075,03/04/2020,,,Wayne,600028,03/04/2020,
100143,05/05/2022,,,Kent,600029,05/05/2022,
100147,09/29/2021,11/25/2021,Reunification,Genesee,600030,09/29/2021,11/25/2021
100015,01/23/2021,,,Genesee,600031,01/23/2021,
100053,01/20/2020,04/29/2020,Reunification,Wayne,600032,01/20/2020,04/29/2020
100163,07/31/2021,12/25/2021,Adoption,Oakland,600033,07/31/2021,12/25/2021
100106,11/24/2021,08/29/2022,Reunification,Oakland,600034,11/24/2021,08/29/2022
100045,01/14/2021,,,Genesee,600035,01/14/2021,
100100,12/25/2021,,,Oakland,600036,12/25/2021,
100070,03/29/2020,05/21/2021,Guardianship,Wayne,600037,03/29/2020,05/21/2021
100081,12/14/2020,01/23/2021,Adoption,Wayne,600038,12/14/2020,01/23/2021
100156,05/02/2021,03/29/2022,Adoption,Genesee,600039,05/02/2021,03/29/2022
100001,02/02/2022,11/16/2022,Adoption,Wayne,600040,02/02/2022,11/16/2022
100117,08/26/2021,,,Oakland,600041,08/26/2021,
100017,05/09/2020,10/15/2020,Emancipation,Wayne,600042,05/09/2020,10/15/2020
100138,04/26/2020,07/19/2020,Adoption,Kent,600043,04/26/2020,07/19/2020
100127,06/19/2021,,,Genesee,600044,06/19/2021,
100102,08/04/2020,11/18/2020,Adoption,Wayne,600045,08/04/2020,11/18/2020
100065,02/03/2020,,,Wayne,600046,02/03/2020,
100141,04/27/2020,10/19/2020,Reunification,Wayne,600047,04/27/2020,10/19/2020
100084,08/05/2021,10/21/2022,Guardianship,Ingham,600048,08/05/2021,10/21/2022
100039,09/13/2020,,,Ingham,600049,09/13/2020,
100132,06/15/2021,,,Genesee,600050,06/15/2021,
100044,04/17/2020,07/01/2021,Reunification,Genesee,600051,04/17/2020,07/01/2021
100074,01/02/2020,07/15/2021,Guardianship,Ingham,600052,01/02/2020,07/15/2021
100123,05/11/2021,,,Kent,600053,05/11/2021,
100077,05/25/2021,,,Genesee,600054,05/25/2021,
100103,09/05/2021,12/03/2022,Guardianship,Ingham,600055,09/05/2021,12/03/2022
100157,05/07/2022,,,Genesee,600056,05/07/2022,
100146,12/15/2021,,,Wayne,600057,12/15/2021,
100004,06/04/2020,,,Oakland,600058,06/04/2020,
100142,04/25/2021,04/26/2022,Emancipation,Oakland,600059,04/25/2021,04/26/2022
100006,10/08/2021,01/25/2023,Reunification,Wayne,600060,10/08/2021,01/25/2023
100125,02/17/2020,08/14/2020,Adoption,Ingham,600061,02/17/2020,08/14/2020
100033,09/26/2021,02/10/2023,Guardianship,Genesee,600062,09/26/2021,02/10/2023
100080,07/13/2021,,,Oakland,600063,07/13/2021,
100091,05/23/2022,04/20/2023,Guardianship,Wayne,600064,05/23/2022,04/20/2023
100113,08/23/2020,06/05/2021,Adoption,Wayne,600065,08/23/2020,06/05/2021
100158,02/04/2022,03/15/2023,Guardianship,Kent,600066,02/04/2022,03/15/2023
100055,04/05/2022,07/21/2022,Adoption,Kent,600067,04/05/2022,07/21/2022
100177,07/03/2021,08/27/2022,Guardianship,Wayne,600068,07/03/2021,08/27/2022
100134,08/14/2020,,,Oakland,600069,08/14/2020,
100129,07/04/2021,,,Ingham,600070,07/04/2021,
100034,05/03/2022,06/16/2023,Adoption,Genesee,600071,05/03/2022,06/16/2023
100019,07/11/2021,12/13/2021,Emancipation,Wayne,600072,07/11/2021,12/13/2021
100116,03/16/2022,11/22/2022,Adoption,Oakland,600073,03/16/2022,11/22/2022
100159,04/22/2020,01/20/2021,Guardianship,Wayne,600074,04/22/2020,01/20/2021
100064,06/22/2021,,,Ingham,600075,06/22/2021,
100079,05/05/2021,09/01/2022,Reunification,Wayne,600076,05/05/2021,09/01/2022
100104,10/01/2021,04/27/2023,Guardianship,Genesee,600077,10/01/2021,04/27/2023
100073,11/01/2021,,,Genesee,600078,11/01/2021,
100028,11/16/2020,04/15/2022,Reunification,Wayne,600079,11/16/2020,04/15/2022
100168,05/13/2020,10/15/2020,Emancipation,Oakland,600080,05/13/2020,10/15/2020
100131,08/14/2021,01/01/2022,Guardianship,Ingham,600081,08/14/2021,01/01/2022
100052,02/24/2022,12/24/2022,Reunification,Kent,600082,02/24/2022,12/24/2022
100154,07/04/2020,09/03/2020,Reunification,Ingham,600083,07/04/2020,09/03/2020
100005,01/08/2022,04/01/2022,Adoption,Kent,600084,01/08/2022,04/01/2022
100121,12/19/2020,07/11/2022,Guardianship,Wayne,600085,12/19/2020,07/11/2022
100167,08/04/2020,01/25/2022,Emancipation,Kent,600086,08/04/2020,01/25/2022
100042,07/26/2021,,,Wayne,600087,07/26/2021,
100105,08/12/2021,01/06/2022,Emancipation,Wayne,600088,08/12/2021,01/06/2022
100179,12/07/2020,07/23/2021,Guardianship,Oakland,600089,12/07/2020,07/23/2021
100148,09/08/2021,02/25/2023,Emancipation,Ingham,600090,09/08/2021,02/25/2023
100139,10/04/2021,09/09/2022,Guardianship,Ingham,600091,10/04/2021,09/09/2022
100101,04/07/2021,08/07/2021,Emancipation,Genesee,600092,04/07/2021,08/07/2021
100114,11/25/2020,04/09/2021,Guardianship,Wayne,600093,11/25/2020,04/09/2021
100136,06/20/2021,,,Genesee,600094,06/20/2021,
100180,12/03/2020,06/04/2021,Guardianship,Wayne,600095,12/03/2020,06/04/2021
100112,11/09/2021,12/29/2022,Guardianship,Kent,600096,11/09/2021,12/29/2022
100135,08/07/2020,01/24/2021,Adoption,Wayne,600097,08/07/2020,01/24/2021
100094,01/26/2022,,,Kent,600098,01/26/2022,
100069,06/18/2020,10/15/2021,Guardianship,Genesee,600099,06/18/2020,10/15/2021
100022,03/14/2022,07/08/2023,Emancipation,Oakland,600100,03/14/2022,07/08/2023
100162,09/13/2020,01/26/2021,Reunification,Oakland,600101,09/13/2020,01/26/2021
100078,06/09/2021,,,Genesee,600102,06/09/2021,
100010,08/17/2020,08/25/2021,Adoption,Kent,600103,08/17/2020,08/25/2021
100083,05/01/2022,08/20/2022,Reunification,Oakland,600104,05/01/2022,08/20/2022
100149,11/04/2020,,,Genesee,600105,11/04/2020,
100090,06/11/2021,07/07/2022,Adoption,Ingham,600106,06/11/2021,07/07/2022
100035,01/04/2021,,,Ingham,600107,01/04/2021,
100086,01/17/2021,10/20/2021,Reunification,Ingham,600108,01/17/2021,10/20/2021
100160,03/08/2022,08/23/2022,Reunification,Genesee,600109,03/08/2022,08/23/2022
100046,02/11/2021,12/30/2021,Guardianship,Wayne,600110,02/11/2021,12/30/2021
