childpartyid,rmvl_dt,dschrg_dt,dischargereasondesc,removal_county_name,responsible_county_name,plcmnt_episode_id,cust_start_date,cust_end_date
100001,01/25/2019,11/28/2020,Emancipation,Genesee,Genesee,600001,01/25/2019,11/28/2020
100002,01/23/2019,04/28/2019,Reunification,Wayne,Wayne,600002,01/23/2019,04/28/2019
100002,10/23/2019,,,Wayne,Wayne,600003,10/23/2019,
100003,10/12/2018,02/17/2019,Reunification,Wayne,Wayne,600004,10/12/2018,02/17/2019
100004,07/01/2019,01/10/2020,Transfer to Another Agency,Ingham,Ingham,600005,07/01/2019,01/10/2020
100005,12/03/2019,,,Oakland,Oakland,600006,12/03/2019,
100006,10/02/2018,07/15/2020,Adoption,Genesee,Genesee,600007,10/02/2018,07/15/2020
100007,09/29/2018,07/05/2019,Emancipation,Kent,Kent,600008,09/29/2018,07/05/2019
100007,11/24/2019,02/04/2020,Reunification,Wayne,Wayne,600009,11/24/2019,02/04/2020
100008,10/05/2019,10/04/2020,Transfer to Another Agency,Wayne,Wayne,600010,10/05/2019,10/04/2020
100008,08/13/2021,05/26/2022,Reunification,Ingham,Ingham,600011,08/13/2021,05/26/2022
100009,02/27/2020,07/16/2020,Adoption,Ingham,Ingham,600012,02/27/2020,07/16/2020
100009,11/28/2021,,,Ingham,Ingham,600013,11/28/2021,
100010,10/03/2019,06/18/2020,Reunification,Ingham,Ingham,600014,10/03/2019,06/18/2020
100011,09/06/2019,06/04/2020,Reunification,Oakland,Oakland,600015,09/06/2019,06/04/2020
100012,03/01/2018,,,Wayne,Wayne,600016,03/01/2018,
100013,05/12/2018,10/10/2019,Emancipation,Kent,Kent,600017,05/12/2018,10/10/2019
100014,01/01/2020,11/20/2020,Adoption,Oakland,Oakland,600018,01/01/2020,11/20/2020
100014,01/21/2021,06/06/2022,Adoption,Kent,Kent,600019,01/21/2021,06/06/2022
100015,03/14/2018,08/05/2018,Reunification,Wayne,Wayne,600020,03/14/2018,08/05/2018
100016,10/13/2018,11/29/2019,Guardianship,Ingham,Ingham,600021,10/13/2018,11/29/2019
100017,09/06/2018,07/04/2019,Guardianship,Genesee,Genesee,600022,09/06/2018,07/04/2019
100018,04/24/2019,01/29/2020,Reunification,Wayne,Wayne,600023,04/24/2019,01/29/2020
100019,07/16/2018,11/16/2018,Reunification,Wayne,Wayne,600024,07/16/2018,11/16/2018
100020,07/18/2019,01/15/2020,Reunification,Genesee,Genesee,600025,07/18/2019,01/15/2020
100020,06/02/2020,08/31/2020,Reunification,Oakland,Oakland,600026,06/02/2020,08/31/2020
100020,04/17/2021,,,Genesee,Genesee,600027,04/17/2021,
100021,03/10/2019,08/28/2019,Transfer to Another Agency,Wayne,Wayne,600028,03/10/2019,08/28/2019
100021,06/30/2020,,,Wayne,Wayne,600029,06/30/2020,
100022,08/22/2019,,,Wayne,Wayne,600030,08/22/2019,
100023,03/12/2018,02/26/2019,Reunification,Genesee,Genesee,600031,03/12/2018,02/26/2019
100023,05/08/2019,05/03/2020,Adoption,Oakland,Oakland,600032,05/08/2019,05/03/2020
100024,11/17/2019,12/11/2020,Reunification,Wayne,Wayne,600033,11/17/2019,12/11/2020
100024,02/16/2021,04/12/2021,Transfer to Another Agency,Wayne,Wayne,600034,02/16/2021,04/12/2021
100025,06/03/2019,,,Kent,Kent,600035,06/03/2019,
100026,10/19/2018,05/04/2019,Transfer to Another Agency,Ingham,Ingham,600036,10/19/2018,05/04/2019
100027,11/15/2019,03/22/2020,Reunification,Kent,Kent,600037,11/15/2019,03/22/2020
100027,12/31/2021,07/18/2022,Reunification,Kent,Kent,600038,12/31/2021,07/18/2022
