intake_id,screeningdecision,county_name,complaint_date,allegationtypedesc,intakechildpartyid,intakeperppartyid,findingdesc,abuseneglect,child_role
300001,Investigate,Wayne,02/09/2023,Emotional Abuse,100001,200055,No Preponderance,A,Victim
300002,Screen Out,Wayne,12/24/2021,Neglect - Failure to Provide,100002,200041,,N,Victim
300003,Investigate,Oakland,12/22/2022,Sexual Abuse,100003,200142,No Preponderance,A,Victim
300004,Screen Out,Wayne,11/11/2022,Physical Abuse,100003,200030,,A,Victim
300005,Investigate,Oakland,06/09/2021,Emotional Abuse,100004,200068,Preponderance,A,Victim
300006,Investigate,Wayne,05/17/2023,Neglect - Failure to Protect,100004,200086,No Evidence,N,Victim
300007,Investigate,Kent,09/26/2021,Physical Abuse,100005,200029,No Evidence,A,Victim
300008,Investigate,Kent,12/09/2022,Sexual Abuse,100006,200011,No Preponderance,A,Victim
300009,Screen Out,Wayne,01/09/2022,Medical Neglect,100006,200064,,N,Victim
300010,Screen Out,Ingham,03/10/2023,Neglect - Failure to Protect,100007,200040,,N,Victim
300011,Screen Out,Kent,03/31/2023,Neglect - Failure to Provide,100008,200086,,N,Victim
300012,Investigate,Kent,04/02/2023,Neglect - Failure to Provide,100008,200010,No Preponderance,N,Victim
300013,Investigate,Genesee,04/17/2023,Neglect - Failure to Provide,100009,200050,No Preponderance,N,Victim
300014,Screen Out,Wayne,06/05/2023,Neglect - Failure to Provide,100010,200131,,N,Victim
300015,Investigate,Ingham,05/14/2023,Emotional Abuse,100011,200067,Preponderance,A,Victim
300015,Investigate,Ingham,05/14/2023,Sexual Abuse,100011,200046,Preponderance,A,Victim
300016,Investigate,Oakland,01/17/2023,Neglect - Failure to Protect,100012,200148,No Preponderance,N,Victim
300017,Investigate,Genesee,12/27/2022,Medical Neglect,100013,200018,No Preponderance,N,Victim
300018,Investigate,Oakland,10/01/2022,Medical Neglect,100014,200130,Preponderance,N,Victim
300018,Investigate,Oakland,10/01/2022,Neglect - Failure to Provide,100014,200080,Preponderance,N,Victim
300019,Investigate,Oakland,12/15/2022,Medical Neglect,100014,200098,Preponderance,N,Victim
300020,Investigate,Oakland,08/06/2022,Emotional Abuse,100015,200111,No Evidence,A,Victim
300021,Investigate,Genesee,11/26/2021,Sexual Abuse,100016,200044,No Evidence,A,Victim
300021,Investigate,Genesee,11/26/2021,Emotional Abuse,100016,200022,No Evidence,A,Victim
300022,Investigate,Oakland,09/27/2022,Neglect - Failure to Protect,100017,200058,No Preponderance,N,Victim
300023,Screen Out,Kent,02/17/2021,Neglect - Failure to Provide,100018,200019,,N,Victim
300024,Investigate,Ingham,10/07/2022,Medical Neglect,100019,200038,No Evidence,N,Victim
300025,Investigate,Wayne,02/08/2023,Physical Abuse,100020,200133,Preponderance,A,Victim
300025,Investigate,Wayne,02/08/2023,Emotional Abuse,100020,200119,Preponderance,A,Victim
300026,Investigate,Genesee,04/01/2023,Neglect - Failure to Provide,100021,200114,No Evidence,N,Victim
300026,Investigate,Genesee,04/01/2023,Emotional Abuse,100021,200130,No Evidence,A,Victim
300027,Investigate,Genesee,06/12/2021,Medical Neglect,100022,200134,No Evidence,N,Victim
300027,Investigate,Genesee,06/12/2021,Neglect - Failure to Protect,100022,200125,No Evidence,N,Victim
300028,Investigate,Oakland,03/21/2021,Neglect - Failure to Provide,100023,200060,No Preponderance,N,Victim
300029,Investigate,Kent,12/25/2022,Neglect - Failure to Provide,100024,200053,No Evidence,N,Victim
300030,Screen Out,Ingham,02/28/2023,Neglect - Failure to Provide,100025,200148,,N,Victim
300031,Investigate,Oakland,12/27/2021,Emotional Abuse,100026,200140,No Evidence,A,Victim
300032,Investigate,Kent,05/15/2022,Medical Neglect,100027,200104,No Evidence,N,Victim
300033,Screen Out,Genesee,06/19/2021,Neglect - Failure to Provide,100027,200137,,N,Victim
300033,Screen Out,Genesee,06/19/2021,Emotional Abuse,100027,200007,,A,Victim
300034,Investigate,Wayne,01/28/2021,Sexual Abuse,100028,200013,Preponderance,A,Victim
300035,Investigate,Oakland,12/01/2021,Neglect - Failure to Provide,100029,200021,No Evidence,N,Victim
300036,Screen Out,Wayne,07/07/2022,Medical Neglect,100030,200018,,N,Victim
300037,Investigate,Kent,02/01/2021,Neglect - Failure to Provide,100031,200033,Preponderance,N,Victim
300038,Investigate,Genesee,08/12/2021,Neglect - Failure to Protect,100032,200030,No Preponderance,N,Victim
300039,Investigate,Ingham,04/21/2021,Neglect - Failure to Provide,100033,200097,Preponderance,N,Victim
300040,Investigate,Wayne,07/23/2021,Medical Neglect,100033,200078,No Preponderance,N,Victim
300041,Investigate,Ingham,05/04/2021,Emotional Abuse,100034,200018,No Evidence,A,Victim
300042,Screen Out,Genesee,01/13/2021,Medical Neglect,100035,200093,,N,Victim
300043,Investigate,Kent,04/16/2022,Neglect - Failure to Provide,100036,200138,No Evidence,N,Victim
300044,Screen Out,Genesee,04/22/2022,Neglect - Failure to Protect,100036,200083,,N,Victim
300045,Screen Out,Oakland,03/30/2021,Emotional Abuse,100037,200119,,A,Victim
300046,Investigate,Genesee,09/17/2022,Sexual Abuse,100037,200055,No Evidence,A,Victim
300047,Screen Out,Oakland,12/15/2021,Emotional Abuse,100038,200071,,A,Victim
300048,Screen Out,Ingham,01/11/2021,Neglect - Failure to Provide,100038,200105,,N,Victim
300049,Investigate,Genesee,09/04/2021,Neglect - Failure to Provide,100039,200057,No Preponderance,N,Victim
300050,Investigate,Ingham,11/10/2021,Sexual Abuse,100040,200141,No Evidence,A,Victim
300051,Investigate,Oakland,04/10/2022,Physical Abuse,100041,200081,Preponderance,A,Victim
300052,Investigate,Kent,12/08/2022,Emotional Abuse,100042,200135,No Evidence,A,Victim
300053,Screen Out,Wayne,10/17/2021,Neglect - Failure to Protect,100042,200093,,N,Victim
300054,Investigate,Ingham,12/27/2022,Medical Neglect,100043,200075,Preponderance,N,Victim
300055,Investigate,Genesee,02/10/2023,Neglect - Failure to Provide,100044,200123,Preponderance,N,Victim
300056,Investigate,Genesee,09/16/2021,Medical Neglect,100045,200148,Preponderance,N,Victim
300057,Screen Out,Kent,06/05/2021,Physical Abuse,100045,200022,,A,Victim
300057,Screen Out,Kent,06/05/2021,Emotional Abuse,100045,200064,,A,Victim
300058,Investigate,Ingham,09/13/2022,Neglect - Failure to Provide,100046,200116,Preponderance,N,Victim
300059,Investigate,Oakland,03/16/2022,Medical Neglect,100046,200026,Preponderance,N,Victim
300059,Investigate,Oakland,03/16/2022,Neglect - Failure to Protect,100046,200054,Preponderance,N,Victim
300060,Investigate,Ingham,06/27/2021,Sexual Abuse,100047,200121,Preponderance,A,Victim
300061,Investigate,Genesee,12/21/2022,Neglect - Failure to Provide,100048,200051,Preponderance,N,Victim
300062,Screen Out,Kent,10/26/2022,Neglect - Failure to Protect,100048,200019,,N,Victim
300062,Screen Out,Kent,10/26/2022,Sexual Abuse,100048,200016,,A,Victim
300063,Screen Out,Ingham,04/25/2023,Medical Neglect,100049,200120,,N,Victim
300064,Investigate,Oakland,02/17/2022,Medical Neglect,100050,200111,No Preponderance,N,Victim
300065,Investigate,Wayne,09/14/2021,Physical Abuse,100051,200069,No Preponderance,A,Victim
300065,Investigate,Wayne,09/14/2021,Neglect - Failure to Protect,100051,200148,No Preponderance,N,Victim
300066,Screen Out,Genesee,10/30/2022,Neglect - Failure to Provide,100052,200150,,N,Victim
300067,Investigate,Wayne,05/19/2022,Sexual Abuse,100053,200042,No Evidence,A,Victim
300068,Investigate,Oakland,05/23/2022,Sexual Abuse,100054,200081,No Preponderance,A,Victim
300069,Screen Out,Genesee,03/03/2023,Neglect - Failure to Provide,100055,200001,,N,Victim
300069,Screen Out,Genesee,03/03/2023,Neglect - Failure to Provide,100055,200139,,N,Victim
300070,Investigate,Oakland,06/15/2022,Emotional Abuse,100056,200053,No Evidence,A,Victim
300070,Investigate,Oakland,06/15/2022,Neglect - Failure to Protect,100056,200069,No Evidence,N,Victim
300071,Investigate,Genesee,03/25/2022,Emotional Abuse,100057,200080,No Preponderance,A,Victim
300072,Investigate,Ingham,01/15/2021,Physical Abuse,100057,200030,Preponderance,A,Victim
300072,Investigate,Ingham,01/15/2021,Medical Neglect,100057,200119,Preponderance,N,Victim
300073,Investigate,Oakland,01/04/2023,Neglect - Failure to Provide,100058,200121,Preponderance,N,Victim
300073,Investigate,Oakland,01/04/2023,Emotional Abuse,100058,200063,Preponderance,A,Victim
300074,Screen Out,Kent,06/05/2022,Sexual Abuse,100059,200107,,A,Victim
300075,Investigate,Ingham,03/18/2023,Medical Neglect,100059,200149,Preponderance,N,Victim
