childpartyid,intake_id,intake_date,rmvl_dt,preponderance_flag,time_to_removal
100011,300015,05/14/2023,06/26/2023,Y,43
100020,300025,02/08/2023,02/20/2023,Y,12
100046,300058,09/13/2022,10/25/2022,Y,42
100046,300059,03/16/2022,03/26/2022,Y,10
100047,300060,06/27/2021,07/20/2021,Y,23
100048,300061,12/21/2022,01/09/2023,Y,19
100058,300073,01/04/2023,01/21/2023,Y,17
100066,300085,01/03/2022,02/16/2022,Y,44
100072,300093,02/04/2021,03/15/2021,Y,39
100073,300095,12/13/2021,01/12/2022,Y,30
100075,300098,11/06/2021,12/15/2021,Y,39
100086,300114,07/30/2022,08/22/2022,Y,23
100092,300120,09/25/2022,10/17/2022,Y,22
100094,300122,02/09/2022,03/17/2022,Y,36
100106,300136,10/17/2021,11/26/2021,Y,40
100110,300140,01/06/2022,01/19/2022,Y,13
100119,300151,01/15/2023,02/15/2023,Y,31
100121,300153,09/05/2021,09/15/2021,Y,10
100132,300166,09/15/2022,09/29/2022,Y,14
100133,300167,01/15/2022,02/06/2022,Y,22
100164,300202,03/29/2022,05/12/2022,Y,44
100170,300211,11/17/2022,12/07/2022,Y,20
100172,300213,11/15/2022,12/08/2022,Y,23
100180,300224,03/11/2022,03/23/2022,Y,12
100186,300233,04/05/2021,05/17/2021,Y,42
100205,300258,10/04/2021,10/10/2021,Y,6
100207,300261,01/25/2022,02/25/2022,Y,31
100213,300269,11/07/2021,12/20/2021,Y,43
100215,300271,07/04/2022,08/03/2022,Y,30
100217,300275,04/29/2021,06/01/2021,Y,33
100223,300282,02/02/2022,02/26/2022,Y,24
100224,300283,08/28/2022,09/11/2022,Y,14
100245,300309,09/11/2021,10/05/2021,Y,24
