childpartyid,racedesc,ame,asi,bla,haw,whi,mis
100001,Black,0,0,1,0,0,0
100002,White,0,0,0,0,1,0
100003,White,0,0,0,0,1,0
100004,White,0,0,0,0,1,0
100005,Black,0,0,1,0,0,0
100006,Black,0,0,1,0,0,0
100007,Hispanic,0,0,0,0,1,0
100008,White,0,0,0,0,1,0
100009,Black,0,0,1,0,0,0
100010,White,0,0,0,0,1,0
100011,White,0,0,0,0,1,0
100012,Black,0,0,1,0,0,0
100013,White,0,0,0,0,1,0
100014,White,0,0,0,0,1,0
100015,Black,0,0,1,0,0,0
100016,Black,0,0,1,0,0,0
100017,White,0,0,0,0,1,0
100018,Black,0,0,1,0,0,0
100019,Hispanic,0,0,0,0,1,0
100020,White,0,0,0,0,1,0
100021,Hispanic,0,0,0,0,1,0
100022,Black,0,0,1,0,0,0
100023,White,0,0,0,0,1,0
100024,White,0,0,0,0,1,0
100025,Other,0,0,0,0,0,1
100026,White,0,0,0,0,1,0
100027,White,0,0,0,0,1,0
100028,White,0,0,0,0,1,0
100029,Hispanic,0,0,0,0,1,0
100030,Black,0,0,1,0,0,0
100031,Hispanic,0,0,0,0,1,0
100032,Black,0,0,1,0,0,0
100033,Black,0,0,1,0,0,0
100034,Other,0,0,0,0,0,1
100035,White,0,0,0,0,1,0
100036,Black,0,0,1,0,0,0
100037,Hispanic,0,0,0,0,1,0
100038,Black,0,0,1,0,0,0
100039,Hispanic,0,0,0,0,1,0
100040,Black,0,0,1,0,0,0
100041,Black,0,0,1,0,0,0
100042,White,0,0,0,0,1,0
100043,White,0,0,0,0,1,0
100044,White,0,0,0,0,1,0
100045,White,0,0,0,0,1,0
100046,White,0,0,0,0,1,0
100047,White,0,0,0,0,1,0
100048,White,0,0,0,0,1,0
100049,Black,0,0,1,0,0,0
100050,White,0,0,0,0,1,0
100051,White,0,0,0,0,1,0
100052,White,0,0,0,0,1,0
100053,White,0,0,0,0,1,0
100054,Other,0,0,0,0,0,1
100055,Black,0,0,1,0,0,0
100056,Black,0,0,1,0,0,0
100057,White,0,0,0,0,1,0
100058,Black,0,0,1,0,0,0
100059,White,0,0,0,0,1,0
100060,White,0,0,0,0,1,0
100061,Other,0,0,0,0,0,1
100062,Black,0,0,1,0,0,0
100063,Black,0,0,1,0,0,0
100064,Black,0,0,1,0,0,0
100065,Hispanic,0,0,0,0,1,0
100066,Hispanic,0,0,0,0,1,0
100067,White,0,0,0,0,1,0
100068,White,0,0,0,0,1,0
100069,White,0,0,0,0,1,0
100070,White,0,0,0,0,1,0
100071,White,0,0,0,0,1,0
100072,Other,0,0,0,0,0,1
100073,Hispanic,0,0,0,0,1,0
100074,White,0,0,0,0,1,0
100075,Black,0,0,1,0,0,0
100076,White,0,0,0,0,1,0
100077,Other,0,0,0,0,0,1
100078,Black,0,0,1,0,0,0
100079,White,0,0,0,0,1,0
100080,White,0,0,0,0,1,0
100081,Black,0,0,1,0,0,0
100082,White,0,0,0,0,1,0
100083,Black,0,0,1,0,0,0
100084,Hispanic,0,0,0,0,1,0
100085,White,0,0,0,0,1,0
100086,White,0,0,0,0,1,0
100087,Other,0,0,0,0,0,1
100088,Black,0,0,1,0,0,0
100089,White,0,0,0,0,1,0
100090,White,0,0,0,0,1,0
100091,White,0,0,0,0,1,0
100092,Black,0,0,1,0,0,0
100093,Hispanic,0,0,0,0,1,0
100094,Black,0,0,1,0,0,0
100095,White,0,0,0,0,1,0
100096,White,0,0,0,0,1,0
100097,Other,0,0,0,0,0,1
100098,Black,0,0,1,0,0,0
100099,Other,0,0,0,0,0,1
100100,Hispanic,0,0,0,0,1,0
100101,White,0,0,0,0,1,0
100102,Black,0,0,1,0,0,0
100103,Black,0,0,1,0,0,0
100104,Black,0,0,1,0,0,0
100105,White,0,0,0,0,1,0
100106,Black,0,0,1,0,0,0
100107,White,0,0,0,0,1,0
100108,Black,0,0,1,0,0,0
100109,Black,0,0,1,0,0,0
100110,Other,0,0,0,0,0,1
100111,Hispanic,0,0,0,0,1,0
100112,White,0,0,0,0,1,0
100113,Black,0,0,1,0,0,0
100114,White,0,0,0,0,1,0
100115,Other,0,0,0,0,0,1
100116,Hispanic,0,0,0,0,1,0
100117,White,0,0,0,0,1,0
100118,Black,0,0,1,0,0,0
100119,Black,0,0,1,0,0,0
100120,White,0,0,0,0,1,0
100121,Hispanic,0,0,0,0,1,0
100122,Black,0,0,1,0,0,0
100123,Hispanic,0,0,0,0,1,0
100124,Black,0,0,1,0,0,0
100125,White,0,0,0,0,1,0
100126,White,0,0,0,0,1,0
100127,White,0,0,0,0,1,0
100128,Other,0,0,0,0,0,1
100129,Hispanic,0,0,0,0,1,0
100130,Hispanic,0,0,0,0,1,0
100131,White,0,0,0,0,1,0
100132,White,0,0,0,0,1,0
100133,Hispanic,0,0,0,0,1,0
100134,Other,0,0,0,0,0,1
100135,White,0,0,0,0,1,0
100136,Black,0,0,1,0,0,0
100137,White,0,0,0,0,1,0
100138,Hispanic,0,0,0,0,1,0
100139,Hispanic,0,0,0,0,1,0
100140,White,0,0,0,0,1,0
100141,Black,0,0,1,0,0,0
100142,Black,0,0,1,0,0,0
100143,White,0,0,0,0,1,0
100144,Hispanic,0,0,0,0,1,0
100145,Black,0,0,1,0,0,0
100146,White,0,0,0,0,1,0
100147,Black,0,0,1,0,0,0
100148,Black,0,0,1,0,0,0
100149,White,0,0,0,0,1,0
100150,White,0,0,0,0,1,0
100151,Other,0,0,0,0,0,1
100152,Black,0,0,1,0,0,0
