childpartyid,racedesc,ame,asi,bla,haw,whi,mis
100001,White,0,0,0,0,1,0
100002,Black,0,0,1,0,0,0
100003,White,0,0,0,0,1,0
100004,Black,0,0,1,0,0,0
100005,Hispanic,0,0,0,0,0,0
100006,Black,0,0,1,0,0,0
100007,Hispanic,0,0,0,0,0,0
100008,Black,0,0,1,0,0,0
100009,White,0,0,0,0,1,0
100010,White,0,0,0,0,1,0
100011,Hispanic,0,0,0,0,0,0
100012,Black,0,0,1,0,0,0
100013,Other,0,0,0,0,0,1
100014,Other,0,0,0,0,0,1
100015,Black,0,0,1,0,0,0
100016,White,0,0,0,0,1,0
100017,White,0,0,0,0,1,0
100018,White,0,0,0,0,1,0
100019,Hispanic,0,0,0,0,0,0
100020,Other,0,0,0,0,0,1
100021,White,0,0,0,0,1,0
100022,Other,0,0,0,0,0,1
100023,Black,0,0,1,0,0,0
100024,Other,0,0,0,0,0,1
100025,Hispanic,0,0,0,0,0,0
100026,White,0,0,0,0,1,0
100027,White,0,0,0,0,1,0
100028,Black,0,0,1,0,0,0
100029,White,0,0,0,0,1,0
100030,White,0,0,0,0,1,0
100031,White,0,0,0,0,1,0
100032,Black,0,0,1,0,0,0
100033,Other,0,0,0,0,0,1
100034,Black,0,0,1,0,0,0
100035,White,0,0,0,0,1,0
100036,White,0,0,0,0,1,0
100037,White,0,0,0,0,1,0
100038,Black,0,0,1,0,0,0
100039,Hispanic,0,0,0,0,0,0
100040,Hispanic,0,0,0,0,0,0
100041,Hispanic,0,0,0,0,0,0
100042,White,0,0,0,0,1,0
100043,Hispanic,0,0,0,0,0,0
100044,Black,0,0,1,0,0,0
100045,Hispanic,0,0,0,0,0,0
100046,White,0,0,0,0,1,0
100047,White,0,0,0,0,1,0
100048,White,0,0,0,0,1,0
100049,Black,0,0,1,0,0,0
100050,Black,0,0,1,0,0,0
100051,White,0,0,0,0,1,0
100052,Black,0,0,1,0,0,0
100053,Black,0,0,1,0,0,0
100054,White,0,0,0,0,1,0
100055,Hispanic,0,0,0,0,0,0
100056,Black,0,0,1,0,0,0
100057,White,0,0,0,0,1,0
100058,Hispanic,0,0,0,0,0,0
100059,White,0,0,0,0,1,0
100060,White,0,0,0,0,1,0
100061,White,0,0,0,0,1,0
100062,Black,0,0,1,0,0,0
100063,White,0,0,0,0,1,0
100064,Black,0,0,1,0,0,0
100065,White,0,0,0,0,1,0
100066,Black,0,0,1,0,0,0
100067,Black,0,0,1,0,0,0
100068,Black,0,0,1,0,0,0
100069,Other,0,0,0,0,0,1
100070,White,0,0,0,0,1,0
100071,Black,0,0,1,0,0,0
