childpartyid,placementepisodeid,provbegindt,provenddate,livingarrangedesc,fc_placement_sequence
100001,600001,05/02/2023,07/02/2023,Relative Foster Care,1
100001,600001,07/02/2023,09/07/2023,Family Foster Care,2
100001,600001,09/07/2023,,Family Foster Care,3
100002,600002,02/08/2023,07/05/2023,Family Foster Care,1
100002,600002,07/05/2023,11/25/2023,Family Foster Care,2
100002,600002,11/25/2023,04/27/2024,Family Foster Care,3
100003,600003,10/04/2022,10/29/2022,Pre-Adoptive Home,1
100003,600003,10/29/2022,11/25/2022,Family Foster Care,2
100004,600004,02/07/2022,,Group Home,1
100005,600005,12/11/2022,,Relative Foster Care,1
100006,600006,01/06/2022,02/13/2023,Relative Foster Care,1
100007,600007,01/30/2023,06/26/2023,Family Foster Care,1
100007,600007,06/26/2023,,Institutional Care,2
100008,600008,04/28/2023,09/14/2023,Relative Foster Care,1
100008,600008,09/14/2023,01/24/2024,Relative Foster Care,2
100008,600008,01/24/2024,06/12/2024,Pre-Adoptive Home,3
100009,600009,06/01/2023,08/25/2023,Relative Foster Care,1
100009,600009,08/25/2023,11/20/2023,Relative Foster Care,2
100009,600009,11/20/2023,,Relative Foster Care,3
100010,600010,07/26/2021,01/22/2022,Family Foster Care,1
100011,600011,12/20/2021,12/25/2022,Family Foster Care,1
100011,600011,12/25/2022,,Family Foster Care,2
100012,600012,09/02/2023,10/13/2023,Family Foster Care,1
100012,600012,10/13/2023,11/24/2023,Institutional Care,2
100012,600012,11/24/2023,,Family Foster Care,3
100013,600013,05/13/2023,03/19/2024,Institutional Care,1
100014,600014,09/21/2021,03/20/2022,Relative Foster Care,1
100014,600014,03/20/2022,09/29/2022,Family Foster Care,2
100015,600015,01/27/2022,02/23/2023,Pre-Adoptive Home,1
100016,600016,02/14/2023,06/09/2024,Relative Foster Care,1
100017,600017,09/24/2022,05/12/2023,Pre-Adoptive Home,1
100017,600017,05/12/2023,01/09/2024,Family Foster Care,2
100018,600018,03/11/2023,11/12/2023,Family Foster Care,1
100019,600019,08/01/2023,09/14/2023,Pre-Adoptive Home,1
100019,600019,09/14/2023,10/18/2023,Family Foster Care,2
100019,600019,10/18/2023,,Relative Foster Care,3
100020,600020,08/29/2022,,Family Foster Care,1
100021,600021,02/05/2022,08/14/2022,Relative Foster Care,1
100022,600022,03/15/2023,09/20/2023,Pre-Adoptive Home,1
100022,600022,09/20/2023,03/24/2024,Family Foster Care,2
100023,600023,12/28/2022,,Relative Foster Care,1
100024,600024,09/12/2023,10/15/2023,Family Foster Care,1
100024,600024,10/15/2023,,Relative Foster Care,2
100025,600025,09/08/2022,04/27/2023,Pre-Adoptive Home,1
100025,600025,04/27/2023,12/08/2023,Relative Foster Care,2
100026,600026,12/25/2022,04/22/2023,Family Foster Care,1
100026,600026,04/22/2023,08/13/2023,Family Foster Care,2
100026,600026,08/13/2023,,Family Foster Care,3
100027,600027,06/19/2023,12/07/2023,Group Home,1
100028,600028,02/24/2022,10/25/2022,Institutional Care,1
100028,600028,10/25/2022,06/21/2023,Relative Foster Care,2
100029,600029,09/20/2022,06/02/2023,Institutional Care,1
100029,600029,06/02/2023,,Institutional Care,2
100030,600030,03/24/2023,08/09/2023,Relative Foster Care,1
100030,600030,08/09/2023,12/26/2023,Institutional Care,2
100030,600030,12/26/2023,05/04/2024,Family Foster Care,3
100031,600031,05/28/2022,10/10/2023,Institutional Care,1
100032,600032,10/20/2022,02/09/2023,Relative Foster Care,1
100032,600032,02/09/2023,06/06/2023,Relative Foster Care,2
100032,600032,06/06/2023,09/16/2023,Relative Foster Care,3
100032,600032,09/16/2023,,Family Foster Care,4
100033,600033,08/13/2023,11/18/2023,Pre-Adoptive Home,1
100033,600033,11/18/2023,03/06/2024,Relative Foster Care,2
100034,600034,04/07/2022,09/03/2022,Relative Foster Care,1
100034,600034,09/03/2022,02/14/2023,Pre-Adoptive Home,2
100034,600034,02/14/2023,07/16/2023,Family Foster Care,3
100034,600034,07/16/2023,,Group Home,4
100035,600035,11/08/2021,05/23/2022,Family Foster Care,1
100035,600035,05/23/2022,11/29/2022,Pre-Adoptive Home,2
100036,600036,11/14/2022,06/14/2023,Relative Foster Care,1
100036,600036,06/14/2023,01/20/2024,Relative Foster Care,2
100037,600037,06/18/2023,,Family Foster Care,1
100038,600038,06/12/2022,04/06/2023,Relative Foster Care,1
100038,600038,04/06/2023,,Family Foster Care,2
100039,600039,07/13/2022,08/03/2023,Family Foster Care,1
100040,600040,08/09/2021,06/26/2022,Relative Foster Care,1
100040,600040,06/26/2022,05/09/2023,Relative Foster Care,2
100040,600040,05/09/2023,,Family Foster Care,3
100041,600041,07/29/2021,10/09/2021,Group Home,1
100041,600041,10/09/2021,12/28/2021,Family Foster Care,2
100042,600042,01/28/2023,05/03/2023,Relative Foster Care,1
100042,600042,05/03/2023,08/08/2023,Relative Foster Care,2
100042,600042,08/08/2023,,Family Foster Care,3
100043,600043,07/30/2021,09/01/2021,Relative Foster Care,1
100044,600044,05/10/2022,02/12/2023,Group Home,1
100045,600045,12/23/2021,08/11/2022,Relative Foster Care,1
100046,600046,02/17/2023,04/11/2024,Pre-Adoptive Home,1
100047,600047,08/15/2021,11/30/2021,Institutional Care,1
100047,600047,11/30/2021,03/12/2022,Family Foster Care,2
100048,600048,12/24/2021,05/13/2022,Family Foster Care,1
100048,600048,05/13/2022,09/22/2022,Family Foster Care,2
100049,600049,04/07/2023,04/27/2023,Pre-Adoptive Home,1
100049,600049,04/27/2023,05/20/2023,Relative Foster Care,2
100050,600050,06/09/2023,09/21/2023,Institutional Care,1
100050,600050,09/21/2023,12/31/2023,Pre-Adoptive Home,2
100050,600050,12/31/2023,,Family Foster Care,3
100051,600051,09/09/2023,,Group Home,1
100052,600052,12/30/2021,02/19/2023,Family Foster Care,1
100052,600052,02/19/2023,,Family Foster Care,2
100053,600053,02/15/2022,,Institutional Care,1
100054,600054,10/08/2022,03/10/2023,Relative Foster Care,1
100054,600054,03/10/2023,08/03/2023,Pre-Adoptive Home,2
100054,600054,08/03/2023,,Family Foster Care,3
100055,600055,11/29/2021,02/07/2023,Family Foster Care,1
100056,600056,03/04/2022,04/19/2023,Relative Foster Care,1
100057,600057,11/02/2022,02/16/2023,Family Foster Care,1
100057,600057,02/16/2023,06/01/2023,Relative Foster Care,2
100057,600057,06/01/2023,09/13/2023,Relative Foster Care,3
100057,600057,09/13/2023,,Relative Foster Care,4
100058,600058,02/01/2023,03/10/2023,Pre-Adoptive Home,1
100059,600059,06/08/2023,10/14/2023,Family Foster Care,1
100059,600059,10/14/2023,03/04/2024,Family Foster Care,2
100060,600060,07/08/2023,,Institutional Care,1
100061,600061,01/09/2022,,Relative Foster Care,1
100062,600062,11/13/2022,05/16/2023,Pre-Adoptive Home,1
100062,600062,05/16/2023,,Group Home,2
100063,600063,03/05/2022,06/25/2022,Relative Foster Care,1
100063,600063,06/25/2022,10/30/2022,Family Foster Care,2
100064,600064,12/25/2022,08/05/2023,Relative Foster Care,1
100064,600064,08/05/2023,03/10/2024,Family Foster Care,2
100065,600065,11/11/2022,06/12/2023,Relative Foster Care,1
100065,600065,06/12/2023,,Group Home,2
100066,600066,06/30/2022,12/01/2022,Group Home,1
100066,600066,12/01/2022,05/18/2023,Family Foster Care,2
100066,600066,05/18/2023,10/28/2023,Institutional Care,3
100067,600067,02/08/2022,,Group Home,1
100068,600068,06/20/2023,09/26/2023,Institutional Care,1
100068,600068,09/26/2023,01/06/2024,Relative Foster Care,2
100069,600069,06/13/2022,08/01/2022,Relative Foster Care,1
100069,600069,08/01/2022,09/11/2022,Institutional Care,2
100069,600069,09/11/2022,11/03/2022,Group Home,3
100069,600069,11/03/2022,12/25/2022,Relative Foster Care,4
100070,600070,12/20/2021,,Family Foster Care,1
100071,600071,08/23/2023,,Family Foster Care,1
100072,600072,06/06/2022,,Relative Foster Care,1
100073,600073,01/15/2023,03/19/2023,Relative Foster Care,1
100073,600073,03/19/2023,05/06/2023,Family Foster Care,2
100073,600073,05/06/2023,07/07/2023,Family Foster Care,3
100073,600073,07/07/2023,08/29/2023,Institutional Care,4
100074,600074,12/06/2022,08/06/2023,Relative Foster Care,1
100074,600074,08/06/2023,,Relative Foster Care,2
100075,600075,06/12/2022,10/27/2022,Relative Foster Care,1
100075,600075,10/27/2022,03/18/2023,Institutional Care,2
100075,600075,03/18/2023,08/13/2023,Family Foster Care,3
100075,600075,08/13/2023,,Relative Foster Care,4
100076,600076,05/02/2022,08/20/2022,Institutional Care,1
100076,600076,08/20/2022,12/16/2022,Family Foster Care,2
100076,600076,12/16/2022,03/30/2023,Relative Foster Care,3
100077,600077,07/07/2023,,Group Home,1
100078,600078,11/01/2022,04/11/2023,Family Foster Care,1
100078,600078,04/11/2023,10/01/2023,Family Foster Care,2
100078,600078,10/01/2023,,Pre-Adoptive Home,3
100079,600079,08/04/2021,,Group Home,1
100080,600080,09/19/2022,11/30/2022,Institutional Care,1
100080,600080,11/30/2022,02/21/2023,Family Foster Care,2
100081,600081,01/27/2023,09/12/2023,Family Foster Care,1
100081,600081,09/12/2023,,Relative Foster Care,2
100082,600082,10/03/2022,02/02/2023,Family Foster Care,1
100082,600082,02/02/2023,06/07/2023,Institutional Care,2
100083,600083,10/05/2021,01/02/2023,Relative Foster Care,1
100084,600084,01/29/2023,,Group Home,1
100085,600085,11/09/2022,06/13/2023,Family Foster Care,1
100086,600086,03/27/2022,10/29/2022,Pre-Adoptive Home,1
100086,600086,10/29/2022,05/30/2023,Pre-Adoptive Home,2
100086,600086,05/30/2023,,Group Home,3
100087,600087,04/30/2023,08/08/2023,Pre-Adoptive Home,1
100087,600087,08/08/2023,11/02/2023,Relative Foster Care,2
100087,600087,11/02/2023,,Institutional Care,3
100088,600088,11/02/2021,06/15/2022,Family Foster Care,1
100089,600089,01/05/2022,01/28/2023,Pre-Adoptive Home,1
100089,600089,01/28/2023,,Group Home,2
100090,600090,05/05/2022,09/01/2023,Relative Foster Care,1
100091,600091,11/20/2021,12/13/2022,Family Foster Care,1
100091,600091,12/13/2022,,Family Foster Care,2
100092,600092,10/19/2021,10/14/2022,Family Foster Care,1
100093,600093,11/12/2021,11/06/2022,Family Foster Care,1
100093,600093,11/06/2022,,Family Foster Care,2
100094,600094,01/29/2022,,Institutional Care,1
100095,600095,03/17/2022,,Family Foster Care,1
100096,600096,09/05/2023,10/22/2023,Group Home,1
100096,600096,10/22/2023,12/08/2023,Relative Foster Care,2
100097,600097,12/31/2021,07/28/2022,Relative Foster Care,1
100097,600097,07/28/2022,02/15/2023,Group Home,2
100097,600097,02/15/2023,09/16/2023,Family Foster Care,3
100097,600097,09/16/2023,,Institutional Care,4
100098,600098,07/08/2023,10/21/2023,Group Home,1
100099,600099,06/14/2022,,Institutional Care,1
100100,600100,10/09/2022,11/16/2023,Family Foster Care,1
100101,600101,07/15/2023,,Group Home,1
100102,600102,11/04/2021,04/09/2022,Group Home,1
100102,600102,04/09/2022,09/14/2022,Group Home,2
100102,600102,09/14/2022,02/24/2023,Family Foster Care,3
100103,600103,06/03/2023,,Relative Foster Care,1
100104,600104,01/06/2022,,Family Foster Care,1
100105,600105,04/28/2023,,Pre-Adoptive Home,1
100106,600106,06/14/2022,08/10/2022,Relative Foster Care,1
100106,600106,08/10/2022,10/10/2022,Institutional Care,2
100106,600106,10/10/2022,12/20/2022,Family Foster Care,3
100107,600107,05/12/2022,07/06/2022,Family Foster Care,1
100107,600107,07/06/2022,09/04/2022,Family Foster Care,2
100107,600107,09/04/2022,10/28/2022,Group Home,3
100108,600108,08/13/2022,09/20/2022,Group Home,1
100108,600108,09/20/2022,10/20/2022,Family Foster Care,2
100108,600108,10/20/2022,11/22/2022,Family Foster Care,3
100108,600108,11/22/2022,12/25/2022,Group Home,4
100109,600109,04/27/2022,11/07/2022,Relative Foster Care,1
100109,600109,11/07/2022,05/07/2023,Family Foster Care,2
100109,600109,05/07/2023,,Relative Foster Care,3
100110,600110,09/25/2021,12/22/2021,Family Foster Care,1
100111,600111,07/01/2022,12/10/2022,Relative Foster Care,1
100111,600111,12/10/2022,05/28/2023,Group Home,2
100112,600112,03/27/2022,05/28/2023,Pre-Adoptive Home,1
100113,600113,03/28/2023,05/19/2024,Group Home,1
100114,600114,10/24/2021,05/19/2022,Institutional Care,1
100114,600114,05/19/2022,12/09/2022,Family Foster Care,2
100114,600114,12/09/2022,07/01/2023,Family Foster Care,3
100114,600114,07/01/2023,,Group Home,4
100115,600115,11/08/2022,12/03/2022,Family Foster Care,1
100115,600115,12/03/2022,12/17/2022,Pre-Adoptive Home,2
100115,600115,12/17/2022,01/06/2023,Group Home,3
100116,600116,06/18/2022,,Relative Foster Care,1
100117,600117,09/20/2021,01/16/2022,Relative Foster Care,1
100118,600118,09/05/2022,04/09/2023,Family Foster Care,1
100118,600118,04/09/2023,11/05/2023,Group Home,2
100119,600119,12/05/2022,08/02/2023,Institutional Care,1
100119,600119,08/02/2023,,Family Foster Care,2
100120,600120,05/12/2023,,Relative Foster Care,1
100121,600121,11/29/2021,07/02/2022,Family Foster Care,1
100122,600122,02/02/2023,05/07/2023,Relative Foster Care,1
100122,600122,05/07/2023,08/02/2023,Institutional Care,2
100123,600123,01/18/2022,02/25/2022,Family Foster Care,1
100123,600123,02/25/2022,04/04/2022,Group Home,2
100123,600123,04/04/2022,05/20/2022,Pre-Adoptive Home,3
100124,600124,03/24/2022,07/16/2022,Family Foster Care,1
100124,600124,07/16/2022,11/03/2022,Pre-Adoptive Home,2
100124,600124,11/03/2022,02/18/2023,Relative Foster Care,3
