childpartyid,rmvl_dt,dschrg_dt,dischargereasondesc,removal_county_name,responsible_county_name,plcmnt_episode_id,cust_start_date,cust_end_date
100001,05/02/2023,,,Wayne,Wayne,600001,05/02/2023,
100002,02/08/2023,04/27/2024,Reunification,Oakland,Oakland,600002,02/08/2023,04/27/2024
100003,10/04/2022,11/25/2022,Emancipation,Wayne,Wayne,600003,10/04/2022,11/25/2022
100004,02/07/2022,,,Genesee,Genesee,600004,02/07/2022,
100005,12/11/2022,,,Genesee,Genesee,600005,12/11/2022,
100006,01/06/2022,02/13/2023,Adoption,Oakland,Oakland,600006,01/06/2022,02/13/2023
100007,01/30/2023,,,Oakland,Oakland,600007,01/30/2023,
100008,04/28/2023,06/12/2024,Guardianship,Wayne,Wayne,600008,04/28/2023,06/12/2024
100009,06/01/2023,,,Kent,Kent,600009,06/01/2023,
100010,07/26/2021,01/22/2022,Emancipation,Oakland,Oakland,600010,07/26/2021,01/22/2022
100011,12/20/2021,,,Ingham,Ingham,600011,12/20/2021,
100012,09/02/2023,,,Ingham,Ingham,600012,09/02/2023,
100013,05/13/2023,03/19/2024,Adoption,Genesee,Genesee,600013,05/13/2023,03/19/2024
100014,09/21/2021,09/29/2022,Guardianship,Ingham,Ingham,600014,09/21/2021,09/29/2022
100015,01/27/2022,02/23/2023,Reunification,Kent,Kent,600015,01/27/2022,02/23/2023
100016,02/14/2023,06/09/2024,Emancipation,Wayne,Wayne,600016,02/14/2023,06/09/2024
100017,09/24/2022,01/09/2024,Reunification,Wayne,Wayne,600017,09/24/2022,01/09/2024
100018,03/11/2023,11/12/2023,Adoption,Genesee,Genesee,600018,03/11/2023,11/12/2023
100019,08/01/2023,,,Kent,Kent,600019,08/01/2023,
100020,08/29/2022,,,Genesee,Genesee,600020,08/29/2022,
100021,02/05/2022,08/14/2022,Reunification,Wayne,Wayne,600021,02/05/2022,08/14/2022
100022,03/15/2023,03/24/2024,Adoption,Wayne,Wayne,600022,03/15/2023,03/24/2024
100023,12/28/2022,,,Oakland,Oakland,600023,12/28/2022,
100024,09/12/2023,,,Kent,Kent,600024,09/12/2023,
100025,09/08/2022,12/08/2023,Guardianship,Ingham,Ingham,600025,09/08/2022,12/08/2023
100026,12/25/2022,,,Ingham,Ingham,600026,12/25/2022,
100027,06/19/2023,12/07/2023,Reunification,Kent,Kent,600027,06/19/2023,12/07/2023
100028,02/24/2022,06/21/2023,Adoption,Wayne,Wayne,600028,02/24/2022,06/21/2023
100029,09/20/2022,,,Wayne,Wayne,600029,09/20/2022,
100030,03/24/2023,05/04/2024,Guardianship,Ingham,Ingham,600030,03/24/2023,05/04/2024
100031,05/28/2022,10/10/2023,Emancipation,Genesee,Genesee,600031,05/28/2022,10/10/2023
100032,10/20/2022,,,Wayne,Wayne,600032,10/20/2022,
100033,08/13/2023,03/06/2024,Guardianship,Wayne,Wayne,600033,08/13/2023,03/06/2024
100034,04/07/2022,,,Wayne,Wayne,600034,04/07/2022,
100035,11/08/2021,11/29/2022,Guardianship,Oakland,Oakland,600035,11/08/2021,11/29/2022
100036,11/14/2022,01/20/2024,Guardianship,Oakland,Oakland,600036,11/14/2022,01/20/2024
100037,06/18/2023,,,Oakland,Oakland,600037,06/18/2023,
100038,06/12/2022,,,Wayne,Wayne,600038,06/12/2022,
